epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,207,,,,0.5443500280380249,0.6438593864440918,0.40539437532424927
0,207,0.4291847348213196,0.5593241453170776,0.29243203997612,,,
1,415,,,,0.7039564251899719,0.7277630567550659,0.5488184094429016
1,415,0.611937940120697,0.6642895340919495,0.45642000436782837,,,
2,623,,,,0.6916235089302063,0.7082769870758057,0.5361901521682739
2,623,0.664955735206604,0.6860334277153015,0.5041910409927368,,,
3,831,,,,0.7234802842140198,0.7387676239013672,0.5707252025604248
3,831,0.6918478012084961,0.7088024020195007,0.5342442393302917,,,
4,1039,,,,0.718097448348999,0.7542980909347534,0.5674859881401062
4,1039,0.7077584266662598,0.7230076789855957,0.552284300327301,,,
5,1247,,,,0.737967312335968,0.7563635110855103,0.5896516442298889
5,1247,0.7083032131195068,0.7244218587875366,0.5529813170433044,,,
6,1455,,,,0.7436273097991943,0.7606277465820312,0.5958789587020874
6,1455,0.7171633839607239,0.7295735478401184,0.56284499168396,,,
7,1663,,,,0.767205536365509,0.7801491618156433,0.625614583492279
7,1663,0.7305856943130493,0.7395842671394348,0.5791355967521667,,,
8,1871,,,,0.7625982165336609,0.7718191146850586,0.6200792789459229
8,1871,0.7408782839775085,0.7515075206756592,0.5920893549919128,,,
9,2079,,,,0.7475566267967224,0.7637902498245239,0.6025209426879883
9,2079,0.735185444355011,0.7466273307800293,0.5852417349815369,,,
10,2287,,,,0.7724201083183289,0.7864000201225281,0.6321393251419067
10,2287,0.7481251358985901,0.7557352781295776,0.6008768677711487,,,
11,2495,,,,0.770485520362854,0.7813541889190674,0.6304343938827515
11,2495,0.7435447573661804,0.7501643896102905,0.594914436340332,,,
12,2703,,,,0.7676486968994141,0.7781347036361694,0.6267905831336975
12,2703,0.7485920786857605,0.7577083706855774,0.601864755153656,,,
13,2911,,,,0.7772547602653503,0.7884941697120667,0.6387143731117249
13,2911,0.7510285973548889,0.7590499520301819,0.6054295301437378,,,
14,3119,,,,0.7752076387405396,0.7901903390884399,0.6368197202682495
14,3119,0.7452197670936584,0.7496061325073242,0.5971667766571045,,,
15,3327,,,,0.7698459625244141,0.7783517241477966,0.6296871900558472
15,3327,0.756957471370697,0.7669138312339783,0.6126109957695007,,,
16,3535,,,,0.7815797924995422,0.7984005808830261,0.6456258893013
16,3535,0.7590137720108032,0.7649742364883423,0.6146167516708374,,,
