epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,207,,,,0.7307984232902527,0.7486896514892578,0.5803123116493225
0,207,0.7270485758781433,0.7419983148574829,0.5753223896026611,,,
1,415,,,,0.7601107954978943,0.775340735912323,0.6167250871658325
1,415,0.7371844053268433,0.7477356195449829,0.587593674659729,,,
2,623,,,,0.7526887655258179,0.7687103748321533,0.6080905199050903
2,623,0.7413763999938965,0.7499591708183289,0.5926404595375061,,,
3,831,,,,0.7609216570854187,0.7749891877174377,0.6178200244903564
3,831,0.7549816370010376,0.7625592947006226,0.6093999147415161,,,
4,1039,,,,0.7800526022911072,0.7938230037689209,0.6427445411682129
4,1039,0.7665578722953796,0.7733938694000244,0.624451756477356,,,
5,1247,,,,0.7844848036766052,0.7947710752487183,0.6484987139701843
5,1247,0.775581955909729,0.7840525507926941,0.6370079517364502,,,
6,1455,,,,0.7924686670303345,0.8030872941017151,0.6592186093330383
6,1455,0.7748196721076965,0.7816649675369263,0.6354808211326599,,,
7,1663,,,,0.7959837317466736,0.8074160814285278,0.6637843251228333
7,1663,0.7777596116065979,0.782957136631012,0.639500081539154,,,
8,1871,,,,0.8005127906799316,0.8113364577293396,0.6701026558876038
8,1871,0.787773072719574,0.7944883108139038,0.6526854038238525,,,
9,2079,,,,0.8023874163627625,0.8125720024108887,0.6727598905563354
9,2079,0.7895229458808899,0.7948735356330872,0.6550476551055908,,,
