epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,207,,,,0.6058626770973206,0.646852433681488,0.4430340528488159
0,207,0.4309322237968445,0.5503302812576294,0.2897058129310608,,,
1,415,,,,0.7184041738510132,0.7367565035820007,0.5652082562446594
1,415,0.6532922387123108,0.6757095456123352,0.4904034435749054,,,
2,623,,,,0.6991965174674988,0.7189645171165466,0.5437150001525879
2,623,0.6819909811019897,0.6989322900772095,0.5220350623130798,,,
3,831,,,,0.7256304621696472,0.7426058053970337,0.5746436715126038
3,831,0.7004457116127014,0.7157433032989502,0.5436745285987854,,,
4,1039,,,,0.7219228744506836,0.754784882068634,0.5712077617645264
4,1039,0.7120574116706848,0.7256197333335876,0.556918740272522,,,
5,1247,,,,0.7437516450881958,0.7640126347541809,0.596645712852478
5,1247,0.7144308686256409,0.7300782799720764,0.5606722235679626,,,
