epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,629,,,,0.42593979835510254,0.4502062499523163,0.28378573060035706
0,629,0.38059890270233154,0.4895639419555664,0.25001877546310425,,,
1,1259,,,,0.4596916735172272,0.5616120100021362,0.31626200675964355
1,1259,0.5681496262550354,0.6251214742660522,0.41816264390945435,,,
2,1889,,,,0.580308735370636,0.5885794758796692,0.41699695587158203
2,1889,0.6389742493629456,0.6609514355659485,0.4820946455001831,,,
3,2519,,,,0.6106657385826111,0.6435741782188416,0.4490053653717041
3,2519,0.6669303774833679,0.6839654445648193,0.5110945105552673,,,
4,3149,,,,0.6140812635421753,0.6336166858673096,0.4518636465072632
4,3149,0.6878761649131775,0.6983455419540405,0.5330855250358582,,,
5,3779,,,,0.5992373824119568,0.6565167903900146,0.44299376010894775
5,3779,0.6982448697090149,0.709513783454895,0.5451065897941589,,,
6,4409,,,,0.6093451380729675,0.668919563293457,0.463966429233551
6,4409,0.7093258500099182,0.7158358097076416,0.557455837726593,,,
7,5039,,,,0.6424558758735657,0.6624109148979187,0.48200708627700806
7,5039,0.7188853621482849,0.7226754426956177,0.5687538385391235,,,
8,5669,,,,0.6204470992088318,0.6556485295295715,0.463405579328537
8,5669,0.7229658365249634,0.7277071475982666,0.5727126598358154,,,
9,6299,,,,0.6499288082122803,0.684600830078125,0.4898220896720886
9,6299,0.738454282283783,0.7399862408638,0.5906674265861511,,,
10,6929,,,,0.5811728239059448,0.6405350565910339,0.4399358034133911
10,6929,0.736912727355957,0.7389273643493652,0.589369535446167,,,
11,7559,,,,0.6500279903411865,0.6748216152191162,0.48774245381355286
11,7559,0.74652498960495,0.745887815952301,0.6012131571769714,,,
12,8189,,,,0.6096116304397583,0.6432338953018188,0.45404088497161865
12,8189,0.7479821443557739,0.7496035695075989,0.6039143800735474,,,
13,8819,,,,0.6599254012107849,0.6790705919265747,0.499831885099411
13,8819,0.7488559484481812,0.7492048144340515,0.6039636731147766,,,
14,9449,,,,0.6518000960350037,0.6729787588119507,0.4905005097389221
14,9449,0.7565723657608032,0.7565746307373047,0.6139962673187256,,,
15,10079,,,,0.6804490089416504,0.7055237889289856,0.5234315395355225
15,10079,0.7544671297073364,0.7547745108604431,0.6111499071121216,,,
16,10709,,,,0.6373528242111206,0.6526328325271606,0.4803083539009094
16,10709,0.7629918456077576,0.763261616230011,0.62159264087677,,,
17,11339,,,,0.672560453414917,0.6969004273414612,0.5160801410675049
17,11339,0.7593323588371277,0.7574253678321838,0.6168639659881592,,,
18,11969,,,,0.6632930040359497,0.6811464428901672,0.505237877368927
18,11969,0.7648642659187317,0.7650735378265381,0.624548077583313,,,
19,12599,,,,0.6357871890068054,0.6775615811347961,0.47895798087120056
19,12599,0.7741395235061646,0.7707564830780029,0.6356257200241089,,,
20,13229,,,,0.6282663941383362,0.7036920785903931,0.489164799451828
20,13229,0.7732553482055664,0.7709149122238159,0.63436359167099,,,
21,13859,,,,0.6240273118019104,0.6676397323608398,0.46918338537216187
21,13859,0.773622989654541,0.7741291522979736,0.6357940435409546,,,
22,14489,,,,0.6720548868179321,0.698108434677124,0.5156511068344116
22,14489,0.7841458916664124,0.7794726490974426,0.6484984159469604,,,
23,15119,,,,0.6627821922302246,0.6966770887374878,0.506245493888855
23,15119,0.7759889364242554,0.7768629789352417,0.6387934684753418,,,
24,15749,,,,0.6526458859443665,0.6641985177993774,0.4920823574066162
24,15749,0.7882086038589478,0.7855139374732971,0.654578447341919,,,
25,16379,,,,0.6597223877906799,0.6826627850532532,0.5023615956306458
25,16379,0.781173050403595,0.7813756465911865,0.645335853099823,,,
26,17009,,,,0.6597070693969727,0.6993616223335266,0.5042562484741211
26,17009,0.786362886428833,0.7853636145591736,0.6521198153495789,,,
27,17639,,,,0.648784339427948,0.6778817176818848,0.49239176511764526
27,17639,0.7891635298728943,0.7868764400482178,0.6554971933364868,,,
28,18269,,,,0.6376362442970276,0.6737726926803589,0.482606440782547
28,18269,0.7927860021591187,0.788966953754425,0.6604769825935364,,,
29,18899,,,,0.6506395936012268,0.6749939322471619,0.49471092224121094
29,18899,0.7962584495544434,0.7925388216972351,0.6647924780845642,,,
30,19529,,,,0.6577141880989075,0.688683271408081,0.5028018355369568
30,19529,0.7966567873954773,0.7941229343414307,0.6655893921852112,,,
31,20159,,,,0.671948254108429,0.6964892148971558,0.5126433968544006
31,20159,0.8002387285232544,0.797074556350708,0.6703545451164246,,,
32,20789,,,,0.6658564209938049,0.6999118328094482,0.5116320252418518
32,20789,0.7985814213752747,0.7964468598365784,0.6687660217285156,,,
33,21419,,,,0.6703299283981323,0.6994546055793762,0.5145499110221863
33,21419,0.8001757264137268,0.7970030903816223,0.670285165309906,,,
34,22049,,,,0.6679906845092773,0.69452303647995,0.5111854672431946
34,22049,0.802039384841919,0.7986587285995483,0.6732497215270996,,,
35,22679,,,,0.6691092252731323,0.6979135274887085,0.5116865038871765
35,22679,0.8037785291671753,0.7997008562088013,0.6747251749038696,,,
36,23309,,,,0.6721616387367249,0.7106679677963257,0.518955647945404
36,23309,0.8032088279724121,0.7995213866233826,0.6744903326034546,,,
37,23939,,,,0.65386962890625,0.6983845233917236,0.499887079000473
37,23939,0.8071730136871338,0.803838312625885,0.6798302531242371,,,
38,24569,,,,0.6808037757873535,0.7025214433670044,0.523957371711731
38,24569,0.8102425336837769,0.805859386920929,0.6839736700057983,,,
39,25199,,,,0.677102267742157,0.7047668099403381,0.5219458937644958
39,25199,0.8094978332519531,0.80513596534729,0.6832513809204102,,,
40,25829,,,,0.667641282081604,0.6987144947052002,0.511589765548706
40,25829,0.812112033367157,0.8060899972915649,0.6863491535186768,,,
41,26459,,,,0.6673453450202942,0.6963768601417542,0.5107900500297546
41,26459,0.8164834380149841,0.8120402693748474,0.692999005317688,,,
42,27089,,,,0.6510605216026306,0.6926345825195312,0.49871692061424255
42,27089,0.8166518807411194,0.8114208579063416,0.6927322745323181,,,
43,27719,,,,0.6685803532600403,0.6878534555435181,0.5114444494247437
43,27719,0.8195809125900269,0.8129223585128784,0.6968351602554321,,,
44,28349,,,,0.6569458842277527,0.697153627872467,0.502680778503418
44,28349,0.8161314725875854,0.8127354979515076,0.692290723323822,,,
45,28979,,,,0.6748520135879517,0.6998273730278015,0.5188071131706238
45,28979,0.8180957436561584,0.8135801553726196,0.6945350766181946,,,
46,29609,,,,0.6595302820205688,0.6863380074501038,0.5016959309577942
46,29609,0.8199511766433716,0.8166752457618713,0.6974989771842957,,,
47,30239,,,,0.6682698130607605,0.7007306218147278,0.5147783160209656
47,30239,0.8206533193588257,0.8172212839126587,0.6987033486366272,,,
48,30869,,,,0.671230137348175,0.6945266127586365,0.5143517255783081
48,30869,0.8187564015388489,0.8133826851844788,0.6959023475646973,,,
49,31499,,,,0.6553143262863159,0.6961345076560974,0.5052165985107422
49,31499,0.8245220184326172,0.8199089169502258,0.7042349576950073,,,
50,32129,,,,0.6839572787284851,0.7101755142211914,0.5295413136482239
50,32129,0.822877049446106,0.818024218082428,0.7016081213951111,,,
51,32759,,,,0.6735864877700806,0.7050811648368835,0.5196361541748047
51,32759,0.8241212964057922,0.8185818791389465,0.7033684253692627,,,
52,33389,,,,0.6626572608947754,0.6941813826560974,0.5079973340034485
52,33389,0.8275659084320068,0.8225780725479126,0.7087154984474182,,,
53,34019,,,,0.6678544878959656,0.6962200403213501,0.5124140381813049
53,34019,0.828482985496521,0.8234387636184692,0.7098264694213867,,,
54,34649,,,,0.6707687973976135,0.7016156911849976,0.5170444250106812
54,34649,0.8314198851585388,0.8265725374221802,0.7140364050865173,,,
55,35279,,,,0.6716883182525635,0.7000618577003479,0.5165234208106995
55,35279,0.831707239151001,0.827312171459198,0.7145147919654846,,,
56,35909,,,,0.6678482890129089,0.6968939900398254,0.512306272983551
56,35909,0.8298184275627136,0.8261008262634277,0.7118523716926575,,,
57,36539,,,,0.6570276618003845,0.6842244863510132,0.5022246837615967
57,36539,0.8344687819480896,0.8294886350631714,0.7181656360626221,,,
58,37169,,,,0.6766713857650757,0.6937628388404846,0.5198600888252258
58,37169,0.8328167796134949,0.8286447525024414,0.7160098552703857,,,
59,37799,,,,0.6735144257545471,0.7023091316223145,0.5183795094490051
59,37799,0.8330448865890503,0.8286333084106445,0.7161792516708374,,,
60,38429,,,,0.6712535619735718,0.6995439529418945,0.5166903734207153
60,38429,0.8359688520431519,0.830578625202179,0.72062087059021,,,
61,39059,,,,0.662837028503418,0.7015438675880432,0.5103192329406738
61,39059,0.834014892578125,0.8292686939239502,0.7179504632949829,,,
62,39689,,,,0.668465793132782,0.6946189999580383,0.5138241052627563
62,39689,0.8365285396575928,0.8307356238365173,0.721413254737854,,,
63,40319,,,,0.6768435835838318,0.6981154680252075,0.5199553370475769
63,40319,0.8360046744346619,0.8316131830215454,0.7206640839576721,,,
64,40949,,,,0.6679484248161316,0.6950393319129944,0.5118887424468994
64,40949,0.8351294994354248,0.8310566544532776,0.719599187374115,,,
65,41579,,,,0.6728772521018982,0.6946095824241638,0.5160638093948364
65,41579,0.840112030506134,0.8348743319511414,0.7265921235084534,,,
66,42209,,,,0.6724933385848999,0.697225034236908,0.5175343155860901
66,42209,0.8421028852462769,0.8363071084022522,0.7295412421226501,,,
67,42839,,,,0.6779719591140747,0.6976580619812012,0.5220534801483154
67,42839,0.8403655290603638,0.8349609375,0.7268750071525574,,,
