epoch,step,train_F1,train_OA,train_loss_epoch,train_loss_step,train_mIoU,val_F1,val_OA,val_loss,val_mIoU
0,49,,,,9.734015464782715,,,,,
0,99,,,,7.067158222198486,,,,,
0,149,,,,5.129819869995117,,,,,
0,199,,,,9.065335273742676,,,,,
0,249,,,,6.691790580749512,,,,,
0,299,,,,5.564120292663574,,,,,
0,341,,,,,,0.2836085557937622,0.36525455117225647,2.285749673843384,0.17361287772655487
0,341,0.2163344919681549,0.2501448690891266,6.831093788146973,,0.12462995201349258,,,,
1,349,,,,3.8183937072753906,,,,,
1,399,,,,4.55551290512085,,,,,
1,449,,,,3.4308128356933594,,,,,
1,499,,,,3.305140733718872,,,,,
1,549,,,,4.983453750610352,,,,,
1,599,,,,3.7992353439331055,,,,,
1,649,,,,2.313114643096924,,,,,
1,683,,,,,,0.5607901811599731,0.6917129158973694,1.5963873863220215,0.4302895963191986
1,683,0.38994693756103516,0.4669252634048462,3.528646230697632,,0.2570090591907501,,,,
2,699,,,,2.4869840145111084,,,,,
2,749,,,,2.3457157611846924,,,,,
2,799,,,,2.4052751064300537,,,,,
2,849,,,,2.359513759613037,,,,,
2,899,,,,2.5602402687072754,,,,,
2,949,,,,2.447514057159424,,,,,
2,999,,,,2.2170729637145996,,,,,
2,1025,,,,,,0.6468350291252136,0.7615292072296143,1.399858832359314,0.5168325901031494
2,1025,0.5684364438056946,0.666802704334259,2.5620737075805664,,0.4326544404029846,,,,
3,1049,,,,2.2620792388916016,,,,,
3,1099,,,,2.5678887367248535,,,,,
3,1149,,,,2.2050132751464844,,,,,
3,1199,,,,2.5706210136413574,,,,,
3,1249,,,,1.971010684967041,,,,,
3,1299,,,,1.5651847124099731,,,,,
3,1349,,,,1.6165521144866943,,,,,
3,1367,,,,,,0.7994204163551331,0.8127164840698242,1.1448637247085571,0.668446958065033
3,1367,0.7194634079933167,0.7287439703941345,2.0874433517456055,,0.5672337412834167,,,,
4,1399,,,,2.1388771533966064,,,,,
4,1449,,,,3.481720209121704,,,,,
4,1499,,,,3.6138973236083984,,,,,
4,1549,,,,1.7408808469772339,,,,,
4,1599,,,,2.6123180389404297,,,,,
4,1649,,,,1.3322232961654663,,,,,
4,1699,,,,1.5651828050613403,,,,,
4,1709,,,,,,0.7983439564704895,0.8095454573631287,1.1702665090560913,0.6669902205467224
4,1709,0.7777847647666931,0.7544270157814026,1.8783708810806274,,0.6377696394920349,,,,
5,1749,,,,1.631005048751831,,,,,
5,1799,,,,1.2697762250900269,,,,,
5,1849,,,,1.5282707214355469,,,,,
5,1899,,,,1.4488853216171265,,,,,
5,1949,,,,1.6421430110931396,,,,,
5,1999,,,,1.454349160194397,,,,,
5,2049,,,,2.8592169284820557,,,,,
5,2051,,,,,,0.830656111240387,0.8382876515388489,1.0292587280273438,0.7126073241233826
5,2051,0.796463131904602,0.7726745009422302,1.6981905698776245,,0.6639958024024963,,,,
6,2099,,,,1.725871205329895,,,,,
6,2149,,,,1.2999989986419678,,,,,
6,2199,,,,1.7856543064117432,,,,,
6,2249,,,,1.6892461776733398,,,,,
6,2299,,,,1.170899748802185,,,,,
6,2349,,,,1.4459829330444336,,,,,
6,2393,,,,,,0.8454329967498779,0.8481048345565796,0.9848347306251526,0.7350540161132812
6,2393,0.8170434832572937,0.8031695485115051,1.5119061470031738,,0.6928386688232422,,,,
7,2399,,,,1.1739963293075562,,,,,
7,2449,,,,1.380402684211731,,,,,
7,2499,,,,1.8697788715362549,,,,,
7,2549,,,,1.476897954940796,,,,,
7,2599,,,,1.1615192890167236,,,,,
7,2649,,,,0.9745787382125854,,,,,
7,2699,,,,1.4885318279266357,,,,,
7,2735,,,,,,0.8370878100395203,0.847493588924408,1.0084991455078125,0.722527801990509
