epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,341,,,,0.6084676384925842,0.7642430067062378,0.49112486839294434
0,341,0.5051237344741821,0.6032520532608032,0.3682757616043091,,,
1,683,,,,0.7658774256706238,0.7542007565498352,0.6215773820877075
1,683,0.7406880259513855,0.7389789819717407,0.5911514163017273,,,
2,1025,,,,0.8219106793403625,0.8186007738113403,0.7010214328765869
2,1025,0.8044019937515259,0.7852049469947815,0.6747714877128601,,,
3,1367,,,,0.8383020162582397,0.8405683636665344,0.7242047786712646
3,1367,0.8320631384849548,0.8218476176261902,0.7147154808044434,,,
4,1709,,,,0.8419367671012878,0.8453957438468933,0.730424165725708
4,1709,0.847611665725708,0.8389869928359985,0.7380263209342957,,,
5,2051,,,,0.8470341563224792,0.8486937880516052,0.736941397190094
5,2051,0.8606347441673279,0.8554257154464722,0.7580758333206177,,,
6,2393,,,,0.8526843786239624,0.8546242117881775,0.746654212474823
6,2393,0.8710502982139587,0.868014931678772,0.7741432785987854,,,
7,2735,,,,0.8575441241264343,0.8593248128890991,0.7536006569862366
7,2735,0.8701337575912476,0.8668790459632874,0.7726743817329407,,,
8,3077,,,,0.8583682179450989,0.854469358921051,0.7543121576309204
8,3077,0.8731587529182434,0.8690059185028076,0.7772880792617798,,,
9,3419,,,,0.8701178431510925,0.8751486539840698,0.772821307182312
9,3419,0.8844550251960754,0.8838872909545898,0.7956426739692688,,,
10,3761,,,,0.8642514944076538,0.869495153427124,0.7649663686752319
10,3761,0.8851355314254761,0.8843508362770081,0.7966923713684082,,,
11,4103,,,,0.8676461577415466,0.8731279969215393,0.7696848511695862
11,4103,0.8914856910705566,0.8919775485992432,0.8066879510879517,,,
12,4445,,,,0.8656358122825623,0.8732610940933228,0.767639696598053
12,4445,0.8903923034667969,0.8890475034713745,0.8053337335586548,,,
13,4787,,,,0.8778666853904724,0.8829568028450012,0.7857476472854614
13,4787,0.8954718112945557,0.8956687450408936,0.8133144974708557,,,
14,5129,,,,0.8668504953384399,0.8683300018310547,0.769102931022644
14,5129,0.8983945250511169,0.8996819257736206,0.8180328011512756,,,
15,5471,,,,0.870296835899353,0.8722399473190308,0.7736243009567261
15,5471,0.9004819989204407,0.9023209810256958,0.8215195536613464,,,
16,5813,,,,0.8755336403846741,0.8812140822410583,0.7823814153671265
16,5813,0.9007906913757324,0.9018984436988831,0.822098970413208,,,
17,6155,,,,0.8789948225021362,0.8841335773468018,0.7873829007148743
17,6155,0.9033581018447876,0.9056922197341919,0.8262602686882019,,,
18,6497,,,,0.8768233060836792,0.8829562067985535,0.7842715978622437
18,6497,0.9048299789428711,0.9075486660003662,0.8287092447280884,,,
19,6839,,,,0.8761592507362366,0.8752495050430298,0.7833831906318665
19,6839,0.9074180126190186,0.9107692837715149,0.8329548835754395,,,
20,7181,,,,0.8803519606590271,0.8857501149177551,0.7899076342582703
20,7181,0.9084727764129639,0.9107276201248169,0.8346401453018188,,,
21,7523,,,,0.876643717288971,0.8829435706138611,0.7841753363609314
21,7523,0.9111404418945312,0.9144451022148132,0.8389816284179688,,,
22,7865,,,,0.8789812326431274,0.8825035095214844,0.7874345779418945
22,7865,0.9116482138633728,0.9155539870262146,0.8398882150650024,,,
23,8207,,,,0.8777885437011719,0.8798267841339111,0.7860202789306641
23,8207,0.9133492112159729,0.9173571467399597,0.8427421450614929,,,
24,8549,,,,0.882931649684906,0.8896336555480957,0.7938511371612549
24,8549,0.9115252494812012,0.9146848320960999,0.8397864699363708,,,
25,8891,,,,0.877346932888031,0.8807028532028198,0.7847274541854858
25,8891,0.9155012369155884,0.9193143248558044,0.8463703989982605,,,
26,9233,,,,0.880820095539093,0.8834971189498901,0.7907060980796814
26,9233,0.915886640548706,0.919729471206665,0.847067654132843,,,
27,9575,,,,0.8803525567054749,0.8856071829795837,0.7901962399482727
27,9575,0.9181579351425171,0.922635018825531,0.8507615327835083,,,
28,9917,,,,0.8778613209724426,0.8841429948806763,0.7859848141670227
28,9917,0.9194542169570923,0.9238976836204529,0.8529369831085205,,,
29,10259,,,,0.8784802556037903,0.8805491924285889,0.7868046760559082
29,10259,0.9183512926101685,0.9241406917572021,0.8511180281639099,,,
30,10601,,,,0.88088458776474,0.8830636143684387,0.790202260017395
30,10601,0.9205402731895447,0.92569500207901,0.854759693145752,,,
31,10943,,,,0.8765908479690552,0.879073977470398,0.7836174368858337
31,10943,0.921198308467865,0.9258314967155457,0.8558952212333679,,,
32,11285,,,,0.8805450797080994,0.8836926221847534,0.7898546457290649
32,11285,0.9235237836837769,0.9288234710693359,0.8598216772079468,,,
33,11627,,,,0.8757389187812805,0.8797504901885986,0.7826690077781677
33,11627,0.9244720339775085,0.9299705028533936,0.8614381551742554,,,
34,11969,,,,0.8801630139350891,0.8822260499000549,0.7893630266189575
34,11969,0.9253228902816772,0.9305949211120605,0.8628377318382263,,,
35,12311,,,,0.8774488568305969,0.8828985095024109,0.785735547542572
35,12311,0.9248228669166565,0.9304978847503662,0.8619551658630371,,,
36,12653,,,,0.8836181163787842,0.887262225151062,0.7950284481048584
36,12653,0.9267238974571228,0.9322064518928528,0.8652170896530151,,,
37,12995,,,,0.8843119740486145,0.8876081705093384,0.7960188984870911
37,12995,0.9267162680625916,0.9320827126502991,0.8652015924453735,,,
38,13337,,,,0.8699538707733154,0.8690046668052673,0.7722810506820679
38,13337,0.9282369017601013,0.9335980415344238,0.8677091598510742,,,
39,13679,,,,0.885077714920044,0.8909940719604492,0.7969383597373962
39,13679,0.9273158311843872,0.9328905344009399,0.8661618232727051,,,
40,14021,,,,0.8832862973213196,0.888405442237854,0.7944705486297607
40,14021,0.9286561608314514,0.933610737323761,0.8685057163238525,,,
41,14363,,,,0.8849319815635681,0.8899498581886292,0.7971792817115784
41,14363,0.9294878840446472,0.9353244304656982,0.8698750734329224,,,
42,14705,,,,0.8852248191833496,0.8899000287055969,0.7974613904953003
42,14705,0.9311686754226685,0.9372997283935547,0.8728135824203491,,,
43,15047,,,,0.8845310807228088,0.8873814940452576,0.7962989807128906
43,15047,0.9325093626976013,0.9386809468269348,0.8751016855239868,,,
44,15389,,,,0.88462895154953,0.8886246681213379,0.7963554263114929
44,15389,0.9326267838478088,0.938703715801239,0.8753182888031006,,,
45,15731,,,,0.885955810546875,0.8903254270553589,0.7983806729316711
45,15731,0.9335039854049683,0.9401386380195618,0.8768098950386047,,,
46,16073,,,,0.8837152719497681,0.888182520866394,0.7952171564102173
46,16073,0.934038519859314,0.9405547976493835,0.87772136926651,,,
47,16415,,,,0.885645866394043,0.889789342880249,0.7979568839073181
47,16415,0.934822678565979,0.9414992332458496,0.8791418671607971,,,
48,16757,,,,0.8836390376091003,0.8865117430686951,0.7949689030647278
48,16757,0.9345660209655762,0.9410362243652344,0.8786147832870483,,,
49,17099,,,,0.8844559192657471,0.8873385787010193,0.7960379719734192
49,17099,0.936311662197113,0.942852795124054,0.8816860914230347,,,
50,17441,,,,0.885511040687561,0.8892026543617249,0.7978535294532776
50,17441,0.9358587861061096,0.9422414898872375,0.8808464407920837,,,
51,17783,,,,0.8844757676124573,0.8888788223266602,0.7960827946662903
