epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,341,,,,0.8125038743019104,0.8184868693351746,0.6861439943313599
0,341,0.6617400050163269,0.6654372811317444,0.4968545436859131,,,
1,683,,,,0.8348658084869385,0.8420786261558533,0.7186508774757385
1,683,0.8105575442314148,0.7947705984115601,0.682765543460846,,,
2,1025,,,,0.8448862433433533,0.850216269493103,0.7349687218666077
2,1025,0.841606855392456,0.8326221704483032,0.7286160588264465,,,
3,1367,,,,0.8547781705856323,0.8634518980979919,0.749936044216156
3,1367,0.8573412895202637,0.8507841229438782,0.7526321411132812,,,
4,1709,,,,0.8619762659072876,0.8666588664054871,0.76055908203125
4,1709,0.8680517077445984,0.8658279180526733,0.7692248225212097,,,
5,2051,,,,0.8602392077445984,0.8656865954399109,0.7582055330276489
5,2051,0.8741064667701721,0.8709583878517151,0.7786970138549805,,,
6,2393,,,,0.8586497902870178,0.8637394309043884,0.7564964890480042
6,2393,0.8808324337005615,0.878821849822998,0.7897433638572693,,,
7,2735,,,,0.8549724221229553,0.8528395891189575,0.7498751282691956
7,2735,0.8838821649551392,0.8829371929168701,0.7945511937141418,,,
8,3077,,,,0.8718720078468323,0.8721132278442383,0.77631014585495
8,3077,0.8868386149406433,0.8857266306877136,0.7994019389152527,,,
9,3419,,,,0.8714441061019897,0.8747650980949402,0.7750632762908936
9,3419,0.8927515745162964,0.8931310176849365,0.8090184926986694,,,
10,3761,,,,0.8699657320976257,0.8735610842704773,0.7738763093948364
10,3761,0.8951326608657837,0.8958896994590759,0.8127694725990295,,,
11,4103,,,,0.874779462814331,0.8822712302207947,0.7812454104423523
11,4103,0.8985214233398438,0.8996118903160095,0.8182668089866638,,,
12,4445,,,,0.8727343082427979,0.8800521492958069,0.7784982323646545
12,4445,0.8958241939544678,0.893507719039917,0.8139137625694275,,,
13,4787,,,,0.8730390667915344,0.8770854473114014,0.7786251902580261
13,4787,0.901078462600708,0.9027661085128784,0.8224150538444519,,,
14,5129,,,,0.8748879432678223,0.8797475099563599,0.7815033197402954
14,5129,0.9043246507644653,0.9059600830078125,0.8277551531791687,,,
15,5471,,,,0.874948263168335,0.8784289956092834,0.7816107869148254
15,5471,0.9064819812774658,0.9094477891921997,0.8314524292945862,,,
16,5813,,,,0.8735870718955994,0.8794369697570801,0.7796491980552673
16,5813,0.9077374339103699,0.9098621606826782,0.8333446979522705,,,
17,6155,,,,0.8794498443603516,0.8847154378890991,0.7884691953659058
17,6155,0.9092869162559509,0.91270512342453,0.8359328508377075,,,
18,6497,,,,0.8776346445083618,0.8832497000694275,0.7855455279350281
18,6497,0.9097379446029663,0.9130638837814331,0.8367549180984497,,,
19,6839,,,,0.8801741600036621,0.8836662769317627,0.7894437909126282
19,6839,0.9125776886940002,0.9155435562133789,0.8414387106895447,,,
20,7181,,,,0.8777139186859131,0.8814851641654968,0.7857568860054016
20,7181,0.9129268527030945,0.915993869304657,0.8420606851577759,,,
21,7523,,,,0.8769485354423523,0.8801488876342773,0.7848019003868103
21,7523,0.9128939509391785,0.9167047142982483,0.8418377637863159,,,
22,7865,,,,0.8807169198989868,0.8852849006652832,0.7904050350189209
22,7865,0.9156535863876343,0.9194523692131042,0.8464727401733398,,,
23,8207,,,,0.8795945644378662,0.885290801525116,0.7887988090515137
23,8207,0.9147303700447083,0.9170711636543274,0.8448595404624939,,,
24,8549,,,,0.8814629912376404,0.8891749978065491,0.7917850613594055
24,8549,0.9179828763008118,0.9220234155654907,0.8504445552825928,,,
25,8891,,,,0.8809310793876648,0.8850396871566772,0.7906043529510498
25,8891,0.9197090268135071,0.9241679310798645,0.8533951044082642,,,
26,9233,,,,0.8796669840812683,0.8852955102920532,0.7890723347663879
26,9233,0.9202767610549927,0.9251006841659546,0.8542812466621399,,,
27,9575,,,,0.883411169052124,0.8886409401893616,0.7947711944580078
27,9575,0.920036256313324,0.9245948791503906,0.8537941575050354,,,
28,9917,,,,0.878382682800293,0.8856834769248962,0.7872651815414429
28,9917,0.9227809309959412,0.9280064702033997,0.8585377931594849,,,
29,10259,,,,0.8812134265899658,0.8867028951644897,0.7914000153541565
29,10259,0.9223216772079468,0.9274550676345825,0.857698917388916,,,
30,10601,,,,0.8823352456092834,0.8880909085273743,0.7932671308517456
30,10601,0.9242021441459656,0.9294546842575073,0.8608310222625732,,,
31,10943,,,,0.8816276788711548,0.8874982595443726,0.7922784090042114
31,10943,0.9248781800270081,0.9299167394638062,0.8620821833610535,,,
32,11285,,,,0.8793039917945862,0.8850388526916504,0.7886976003646851
32,11285,0.926010012626648,0.9315414428710938,0.8639587759971619,,,
33,11627,,,,0.875464916229248,0.8827911019325256,0.7831729650497437
33,11627,0.9269598126411438,0.9325730800628662,0.8655972480773926,,,
34,11969,,,,0.8785087466239929,0.8833834528923035,0.7869311571121216
34,11969,0.9285592436790466,0.9340755343437195,0.868291437625885,,,
35,12311,,,,0.8797008395195007,0.8871081471443176,0.7899154424667358
35,12311,0.9279690980911255,0.9333738684654236,0.8673176765441895,,,
36,12653,,,,0.8824612498283386,0.8880194425582886,0.7934805750846863
36,12653,0.9288163781166077,0.9342381954193115,0.8686860203742981,,,
37,12995,,,,0.8829538822174072,0.8889937400817871,0.794719398021698
37,12995,0.9304627776145935,0.9362537264823914,0.8715894818305969,,,
38,13337,,,,0.8816264271736145,0.8874967694282532,0.7923454642295837
38,13337,0.9305062890052795,0.9367743730545044,0.8716479539871216,,,
39,13679,,,,0.8799331784248352,0.8846762180328369,0.7888304591178894
39,13679,0.9311248660087585,0.9367525577545166,0.8726511001586914,,,
40,14021,,,,0.8826099634170532,0.8887745141983032,0.793470025062561
40,14021,0.9316832423210144,0.937620222568512,0.8736150860786438,,,
41,14363,,,,0.8839777708053589,0.8902326822280884,0.7961012721061707
41,14363,0.9328314661979675,0.9391837120056152,0.8756124973297119,,,
42,14705,,,,0.8798227310180664,0.8862472176551819,0.7896574139595032
42,14705,0.9339635968208313,0.9402409791946411,0.8775872588157654,,,
43,15047,,,,0.8782113790512085,0.8810887932777405,0.7865973711013794
43,15047,0.9347869753837585,0.9408374428749084,0.8789674043655396,,,
44,15389,,,,0.8790991306304932,0.8806273341178894,0.7878208756446838
44,15389,0.9325425028800964,0.9384773969650269,0.8749393820762634,,,
