epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,341,,,,0.8173766732215881,0.8241230249404907,0.6930263638496399
0,341,0.6808091998100281,0.6876481771469116,0.5191935300827026,,,
1,683,,,,0.8384104371070862,0.843924880027771,0.72386634349823
1,683,0.8181083798408508,0.8035035133361816,0.6937956213951111,,,
2,1025,,,,0.8424363732337952,0.8357279300689697,0.7307326197624207
2,1025,0.8507830500602722,0.844906747341156,0.7425690293312073,,,
3,1367,,,,0.8603939414024353,0.8665550351142883,0.7584183216094971
3,1367,0.8602999448776245,0.8557977676391602,0.7571057677268982,,,
4,1709,,,,0.8607425689697266,0.8563512563705444,0.7590134739875793
4,1709,0.8702214360237122,0.8667805790901184,0.7728157043457031,,,
5,2051,,,,0.86735600233078,0.8705307245254517,0.7691394090652466
5,2051,0.8778857588768005,0.87546706199646,0.7850096225738525,,,
6,2393,,,,0.860662579536438,0.8680492043495178,0.7597752213478088
6,2393,0.8844273090362549,0.8837521076202393,0.7955604791641235,,,
7,2735,,,,0.8691650629043579,0.8728224635124207,0.7715036869049072
7,2735,0.8873996138572693,0.8864530324935913,0.8001670837402344,,,
8,3077,,,,0.8688402771949768,0.8642342686653137,0.7701612710952759
8,3077,0.8894899487495422,0.8893319368362427,0.8036930561065674,,,
9,3419,,,,0.8804972767829895,0.8874621391296387,0.7893818616867065
9,3419,0.8936823010444641,0.8941411375999451,0.8104050159454346,,,
10,3761,,,,0.8746777176856995,0.8790868520736694,0.7810162901878357
10,3761,0.8951693773269653,0.8954344391822815,0.8128824234008789,,,
11,4103,,,,0.8773579001426697,0.88303542137146,0.7847700715065002
11,4103,0.9002683758735657,0.9020038843154907,0.8211578726768494,,,
12,4445,,,,0.8776816129684448,0.8812597393989563,0.7854851484298706
12,4445,0.8957666158676147,0.8938838243484497,0.8140038847923279,,,
13,4787,,,,0.8781601786613464,0.8832929730415344,0.7863640189170837
13,4787,0.9003607034683228,0.9010238647460938,0.8212209939956665,,,
14,5129,,,,0.8771560192108154,0.8802074193954468,0.784990668296814
14,5129,0.9039950370788574,0.9064944982528687,0.8271563649177551,,,
15,5471,,,,0.8801186680793762,0.8840731978416443,0.7891764640808105
15,5471,0.907050371170044,0.9097185730934143,0.8322718143463135,,,
16,5813,,,,0.8796001076698303,0.882991373538971,0.7883967161178589
16,5813,0.9079886674880981,0.9106816053390503,0.8338201642036438,,,
17,6155,,,,0.8824664354324341,0.8863121271133423,0.7928482890129089
17,6155,0.910270631313324,0.9140765070915222,0.8376747965812683,,,
18,6497,,,,0.879784107208252,0.8831201791763306,0.7887404561042786
18,6497,0.9102723598480225,0.9128870368003845,0.8375740647315979,,,
19,6839,,,,0.8816882371902466,0.8846392631530762,0.7921999096870422
19,6839,0.9129480123519897,0.915910005569458,0.8421477675437927,,,
20,7181,,,,0.8819689750671387,0.8879510164260864,0.792759358882904
20,7181,0.9148545265197754,0.9180207848548889,0.8452520966529846,,,
21,7523,,,,0.887207567691803,0.892122745513916,0.8004097938537598
21,7523,0.9146199822425842,0.9181445837020874,0.8447781205177307,,,
