epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,103,,,,0.4660915434360504,0.6343142986297607,0.34399837255477905
0,103,0.2771771550178528,0.3311713933944702,0.17063558101654053,,,
1,207,,,,0.5993984937667847,0.756746768951416,0.4801262617111206
1,207,0.5159220695495605,0.6596765518188477,0.3894602954387665,,,
2,311,,,,0.6336483955383301,0.7875650525093079,0.5177446603775024
2,311,0.5769626498222351,0.7171320915222168,0.45135030150413513,,,
3,415,,,,0.6663599610328674,0.8136088848114014,0.5526012778282166
3,415,0.6087709665298462,0.7416380643844604,0.4836448132991791,,,
4,519,,,,0.6930449604988098,0.8310215473175049,0.5788707137107849
4,519,0.6323704123497009,0.7570543885231018,0.5048956871032715,,,
5,623,,,,0.7278148531913757,0.8464739322662354,0.6105377078056335
5,623,0.6487981081008911,0.7661115527153015,0.5183174014091492,,,
6,727,,,,0.7467755079269409,0.8519339561462402,0.6277734041213989
6,727,0.6690331101417542,0.773605465888977,0.5360562205314636,,,
7,831,,,,0.7739754915237427,0.8586318492889404,0.6538763642311096
7,831,0.7001309990882874,0.7877631187438965,0.5642620325088501,,,
8,935,,,,0.7647952437400818,0.847370982170105,0.6396541595458984
8,935,0.7115644812583923,0.7872366905212402,0.5740397572517395,,,
9,1039,,,,0.7737525105476379,0.8584627509117126,0.6532483100891113
9,1039,0.7268193960189819,0.7967615127563477,0.589432418346405,,,
10,1143,,,,0.7967671155929565,0.8651895523071289,0.6772645711898804
10,1143,0.7298282384872437,0.8001818656921387,0.5931758284568787,,,
11,1247,,,,0.7960894703865051,0.8670843243598938,0.6777067184448242
11,1247,0.7395989894866943,0.7979035377502441,0.601729691028595,,,
12,1351,,,,0.8017693161964417,0.8668156266212463,0.6829378604888916
12,1351,0.7343565225601196,0.7966036796569824,0.5963863730430603,,,
13,1455,,,,0.8021672964096069,0.8652135729789734,0.6827195882797241
13,1455,0.7386876344680786,0.799608588218689,0.6015197038650513,,,
14,1559,,,,0.8088446259498596,0.8692917227745056,0.6913125514984131
14,1559,0.7401716113090515,0.8034626245498657,0.6039825081825256,,,
15,1663,,,,0.809859573841095,0.8691000938415527,0.6920121908187866
15,1663,0.7302100658416748,0.7940987944602966,0.5916554927825928,,,
16,1767,,,,0.7707707285881042,0.8683227896690369,0.6579635739326477
16,1767,0.7480111122131348,0.7995947003364563,0.6103288531303406,,,
17,1871,,,,0.8299022316932678,0.8791382908821106,0.7179933190345764
17,1871,0.7523495554924011,0.8049591779708862,0.6156986951828003,,,
18,1975,,,,0.8378905653953552,0.8836631178855896,0.7288017272949219
18,1975,0.7581694722175598,0.8104433417320251,0.6237930059432983,,,
19,2079,,,,0.8078091144561768,0.8772381544113159,0.6935774683952332
19,2079,0.7697679400444031,0.8177242875099182,0.6373730301856995,,,
20,2183,,,,0.8193873167037964,0.8829713463783264,0.7081774473190308
20,2183,0.7725006341934204,0.8217830061912537,0.6411385536193848,,,
21,2287,,,,0.8436129093170166,0.8878152966499329,0.7366102933883667
21,2287,0.779220700263977,0.8281933069229126,0.650009274482727,,,
22,2391,,,,0.8495019674301147,0.8895593881607056,0.7444089651107788
22,2391,0.781862199306488,0.8288609385490417,0.6532765626907349,,,
23,2495,,,,0.8411117792129517,0.8912091851234436,0.7351704835891724
23,2495,0.7865053415298462,0.8324025869369507,0.6588300466537476,,,
24,2599,,,,0.824156641960144,0.8529102206230164,0.7068064212799072
24,2599,0.7838509678840637,0.8278881311416626,0.6548328995704651,,,
25,2703,,,,0.8503300547599792,0.8941546678543091,0.746971607208252
25,2703,0.7878057956695557,0.8314763307571411,0.6604713797569275,,,
26,2807,,,,0.8390370011329651,0.8855841159820557,0.7318017482757568
26,2807,0.7892802953720093,0.8344485759735107,0.6623584032058716,,,
27,2911,,,,0.8527191877365112,0.8937312364578247,0.7501370310783386
27,2911,0.7958737015724182,0.8396108150482178,0.6712581515312195,,,
28,3015,,,,0.8560037016868591,0.8921865820884705,0.7538254857063293
28,3015,0.8001002073287964,0.8382298350334167,0.6756953001022339,,,
29,3119,,,,0.8546333909034729,0.8908495306968689,0.7522056698799133
29,3119,0.8027735352516174,0.8393097519874573,0.679093599319458,,,
30,3223,,,,0.8487967252731323,0.8936147093772888,0.7447268962860107
30,3223,0.8027386665344238,0.8411535024642944,0.6794142127037048,,,
31,3327,,,,0.8570463061332703,0.8964314460754395,0.7560737133026123
31,3327,0.8062437772750854,0.844386100769043,0.6843736171722412,,,
32,3431,,,,0.8630807399749756,0.8995912671089172,0.7647541165351868
32,3431,0.8049349784851074,0.8410677909851074,0.6823402643203735,,,
33,3535,,,,0.8497211337089539,0.8978239297866821,0.7478466033935547
33,3535,0.8070411086082458,0.8446474671363831,0.6855854392051697,,,
34,3639,,,,0.861739456653595,0.8979270458221436,0.7626572847366333
34,3639,0.8086619973182678,0.8485417366027832,0.688051164150238,,,
35,3743,,,,0.8623707890510559,0.8973922729492188,0.7636560201644897
35,3743,0.8079490661621094,0.8465117812156677,0.687009334564209,,,
36,3847,,,,0.8574762344360352,0.8941947221755981,0.7564600706100464
36,3847,0.8148318529129028,0.8494856357574463,0.6956627368927002,,,
37,3951,,,,0.8663569688796997,0.9009805917739868,0.7693139314651489
37,3951,0.8118454217910767,0.850321352481842,0.6925354599952698,,,
38,4055,,,,0.8608877658843994,0.8970021605491638,0.7612543106079102
38,4055,0.8157354593276978,0.8489511013031006,0.696738064289093,,,
39,4159,,,,0.8626970648765564,0.9000409245491028,0.7645548582077026
39,4159,0.8118681311607361,0.8481465578079224,0.6916199326515198,,,
40,4263,,,,0.8643231391906738,0.8991551995277405,0.7664206624031067
40,4263,0.8152307868003845,0.8506031632423401,0.6963256001472473,,,
41,4367,,,,0.865847110748291,0.9002320766448975,0.7685526609420776
41,4367,0.8164229393005371,0.8511193990707397,0.6979373693466187,,,
42,4471,,,,0.8683928847312927,0.9027068018913269,0.7725465297698975
42,4471,0.8154166340827942,0.851218044757843,0.6966683864593506,,,
43,4575,,,,0.8669272065162659,0.9019660949707031,0.7703953981399536
43,4575,0.8093046545982361,0.8489817380905151,0.6890811920166016,,,
44,4679,,,,0.86800616979599,0.9016311764717102,0.771774172782898
44,4679,0.8172893524169922,0.8505763411521912,0.6992241740226746,,,
45,4783,,,,0.8595958352088928,0.8970527052879333,0.7597554326057434
45,4783,0.7997850179672241,0.8370273113250732,0.6754593253135681,,,
46,4887,,,,0.8652874827384949,0.9015940427780151,0.7682639360427856
46,4887,0.8107607960700989,0.8472810387611389,0.6901696920394897,,,
47,4991,,,,0.844683051109314,0.8836994171142578,0.736179530620575
47,4991,0.8076416850090027,0.8458727598190308,0.686347484588623,,,
48,5095,,,,0.8686471581459045,0.9058239459991455,0.7739665508270264
48,5095,0.8157642483711243,0.8493223190307617,0.6966778039932251,,,
49,5199,,,,0.8692809343338013,0.9043460488319397,0.7742191553115845
49,5199,0.8143705129623413,0.8493335843086243,0.6950390934944153,,,
50,5303,,,,0.862931489944458,0.9003316164016724,0.7652627825737
50,5303,0.8176457285881042,0.8528773784637451,0.6998605728149414,,,
51,5407,,,,0.8704866766929626,0.9030112624168396,0.7759472727775574
51,5407,0.8172408938407898,0.8529026508331299,0.6995962858200073,,,
52,5511,,,,0.8666037321090698,0.9011067748069763,0.7698236703872681
52,5511,0.8184404373168945,0.8503921031951904,0.7005402445793152,,,
53,5615,,,,0.8740072250366211,0.9091166257858276,0.7817621231079102
53,5615,0.8223981261253357,0.8555532693862915,0.7060586810112,,,
54,5719,,,,0.8728039264678955,0.9084075689315796,0.7802671194076538
54,5719,0.8209367394447327,0.85322505235672,0.704073429107666,,,
55,5823,,,,0.8566417098045349,0.8943493962287903,0.7563655972480774
55,5823,0.8263423442840576,0.8594499826431274,0.7120436429977417,,,
56,5927,,,,0.8765956163406372,0.9085552096366882,0.7848480343818665
56,5927,0.8238268494606018,0.8549057245254517,0.7083470225334167,,,
57,6031,,,,0.8699926137924194,0.903451144695282,0.77590411901474
57,6031,0.8262969851493835,0.8561549186706543,0.7117961645126343,,,
58,6135,,,,0.8778111338615417,0.9075998663902283,0.7863509058952332
58,6135,0.8280925154685974,0.8614378571510315,0.7144290208816528,,,
59,6239,,,,0.8576931953430176,0.9026919007301331,0.7589074969291687
59,6239,0.827562689781189,0.8602059483528137,0.7141521573066711,,,
60,6343,,,,0.8771628737449646,0.9067001342773438,0.7855056524276733
60,6343,0.8274493217468262,0.8606386184692383,0.7135470509529114,,,
