epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,207,,,,0.2520463168621063,0.3728419244289398,0.15864287316799164
0,207,0.22810585796833038,0.3051326274871826,0.1359422504901886,,,
1,415,,,,0.3000178933143616,0.4708214998245239,0.19984649121761322
1,415,0.268707811832428,0.3972039818763733,0.1692260205745697,,,
2,623,,,,0.3411395847797394,0.5266470313072205,0.23840714991092682
2,623,0.32682448625564575,0.4742577373981476,0.21637384593486786,,,
3,831,,,,0.41217705607414246,0.589807391166687,0.29633262753486633
3,831,0.3805667757987976,0.5390421152114868,0.2647148668766022,,,
4,1039,,,,0.4876297116279602,0.6392862796783447,0.3598684072494507
4,1039,0.42220836877822876,0.5884376764297485,0.30406472086906433,,,
5,1247,,,,0.4418557286262512,0.6329086422920227,0.3320954740047455
5,1247,0.4517008662223816,0.6269530653953552,0.33375993371009827,,,
6,1455,,,,0.49549007415771484,0.660365879535675,0.3720819056034088
6,1455,0.46008673310279846,0.6354206204414368,0.34229305386543274,,,
7,1663,,,,0.4943903386592865,0.6677755117416382,0.3737398087978363
7,1663,0.4779510200023651,0.653282642364502,0.3595581650733948,,,
8,1871,,,,0.4841277003288269,0.6668622493743896,0.3678138852119446
8,1871,0.47971051931381226,0.6529116630554199,0.36172348260879517,,,
9,2079,,,,0.4855080544948578,0.6688395738601685,0.3692648410797119
9,2079,0.48339223861694336,0.6601854562759399,0.36606985330581665,,,
10,2287,,,,0.4772510230541229,0.6726599335670471,0.36777302622795105
10,2287,0.47686365246772766,0.6477874517440796,0.3585701286792755,,,
11,2495,,,,0.5330209136009216,0.7245182991027832,0.4270545244216919
11,2495,0.5116614699363708,0.6905229687690735,0.3973505198955536,,,
12,2703,,,,0.5677021145820618,0.7563794851303101,0.45910948514938354
12,2703,0.5256867408752441,0.7019425630569458,0.41323694586753845,,,
13,2911,,,,0.5810373425483704,0.7640212774276733,0.47042813897132874
13,2911,0.5416239500045776,0.7298102378845215,0.43380334973335266,,,
14,3119,,,,0.531713604927063,0.7266456484794617,0.42661774158477783
14,3119,0.5556621551513672,0.7393082976341248,0.44673874974250793,,,
15,3327,,,,0.5420544147491455,0.7295652031898499,0.4306885302066803
15,3327,0.5610550045967102,0.7393088936805725,0.45093607902526855,,,
16,3535,,,,0.6254684925079346,0.8072831630706787,0.5212960839271545
16,3535,0.5763636231422424,0.7492276430130005,0.46637293696403503,,,
17,3743,,,,0.6331132054328918,0.8119220733642578,0.5299338698387146
17,3743,0.5901089906692505,0.7586090564727783,0.4803268611431122,,,
18,3951,,,,0.6288115978240967,0.8121107816696167,0.5270519256591797
18,3951,0.5973122119903564,0.7726039886474609,0.490915983915329,,,
19,4159,,,,0.638374388217926,0.8173059225082397,0.5361491441726685
19,4159,0.6044559478759766,0.7756858468055725,0.49796342849731445,,,
20,4367,,,,0.6244337558746338,0.8042388558387756,0.5206105709075928
20,4367,0.6183705925941467,0.7882775664329529,0.5145575404167175,,,
21,4575,,,,0.6543821096420288,0.8371978998184204,0.5584331154823303
21,4575,0.6206188797950745,0.7924559712409973,0.5170668959617615,,,
22,4783,,,,0.6436928510665894,0.8227826952934265,0.5444424748420715
22,4783,0.6164438128471375,0.7901286482810974,0.5122443437576294,,,
23,4991,,,,0.6649869680404663,0.846535861492157,0.572587251663208
23,4991,0.6229581832885742,0.7911804914474487,0.5187646150588989,,,
24,5199,,,,0.6672929525375366,0.8475673198699951,0.5753157138824463
24,5199,0.6260641813278198,0.7937960028648376,0.5228361487388611,,,
25,5407,,,,0.6590961813926697,0.8386648893356323,0.5644529461860657
25,5407,0.6331781148910522,0.8028607964515686,0.5317806005477905,,,
26,5615,,,,0.666774570941925,0.8484387993812561,0.575431764125824
26,5615,0.631904661655426,0.8055647611618042,0.5315897464752197,,,
27,5823,,,,0.6553124785423279,0.8354034423828125,0.5592306852340698
27,5823,0.630760908126831,0.7997108697891235,0.5289848446846008,,,
28,6031,,,,0.657779335975647,0.8377500176429749,0.5624330639839172
28,6031,0.633430540561676,0.8072552680969238,0.5333366990089417,,,
29,6239,,,,0.6574098467826843,0.83771812915802,0.5618574023246765
