epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,51,,,,0.5558474063873291,0.7276535630226135,0.4398823082447052
0,51,0.4639618396759033,0.6094309091567993,0.3377194404602051,,,
1,103,,,,0.6446404457092285,0.8250667452812195,0.5451356172561646
1,103,0.5926761031150818,0.7594093680381775,0.4812755584716797,,,
2,155,,,,0.6530415415763855,0.8365350961685181,0.5554978251457214
2,155,0.6272146105766296,0.7942235469818115,0.5225384831428528,,,
3,207,,,,0.66390061378479,0.8465695381164551,0.5693861246109009
3,207,0.6389613747596741,0.8086686134338379,0.5375193953514099,,,
4,259,,,,0.7062880992889404,0.862265944480896,0.6083163022994995
4,259,0.6489625573158264,0.8118541836738586,0.5457575917243958,,,
5,311,,,,0.799307107925415,0.8732895255088806,0.6839585304260254
5,311,0.7248086929321289,0.8298797607421875,0.6024048328399658,,,
6,363,,,,0.8124120831489563,0.8697822690010071,0.6965546607971191
6,363,0.7733945250511169,0.8322516679763794,0.644949197769165,,,
7,415,,,,0.8399978280067444,0.895139753818512,0.7354373931884766
7,415,0.7856429219245911,0.8419356942176819,0.660191535949707,,,
8,467,,,,0.8439878225326538,0.8892930150032043,0.738007128238678
8,467,0.7950758934020996,0.8477749228477478,0.6723328828811646,,,
9,519,,,,0.8471869826316833,0.8923264741897583,0.7425869107246399
9,519,0.8008394241333008,0.8451904058456421,0.6779233813285828,,,
10,571,,,,0.8577364683151245,0.9034476280212402,0.7588865756988525
10,571,0.8040598034858704,0.8548887968063354,0.6839182376861572,,,
11,623,,,,0.8545843362808228,0.8989797830581665,0.7534361481666565
11,623,0.8110563158988953,0.8563492298126221,0.6920474171638489,,,
12,675,,,,0.8561952114105225,0.8994420170783997,0.7556674480438232
12,675,0.8099583387374878,0.8549025654792786,0.690557599067688,,,
13,727,,,,0.8591381311416626,0.9023005366325378,0.7602877020835876
13,727,0.8131198883056641,0.8565915822982788,0.694646418094635,,,
14,779,,,,0.8604092597961426,0.9037073850631714,0.7623400092124939
14,779,0.8119049668312073,0.8588135242462158,0.6943426132202148,,,
15,831,,,,0.842870831489563,0.8913801312446594,0.7368898391723633
15,831,0.8008110523223877,0.8507769107818604,0.6789260506629944,,,
16,883,,,,0.8645357489585876,0.9033176898956299,0.7672967314720154
16,883,0.8064913749694824,0.8517603278160095,0.6859683990478516,,,
17,935,,,,0.8687097430229187,0.9078302979469299,0.7741003036499023
17,935,0.8085654377937317,0.8574650883674622,0.6894597411155701,,,
18,987,,,,0.8396215438842773,0.8832058310508728,0.7327213883399963
18,987,0.8156629204750061,0.8610424995422363,0.6987637877464294,,,
19,1039,,,,0.8670090436935425,0.9050796031951904,0.7718521356582642
19,1039,0.8232523798942566,0.8650524616241455,0.7085762619972229,,,
20,1091,,,,0.8750896453857422,0.9102978110313416,0.783511221408844
20,1091,0.8253619074821472,0.869711697101593,0.7121127843856812,,,
21,1143,,,,0.870545506477356,0.9079905152320862,0.7765906453132629
21,1143,0.8332078456878662,0.8756113052368164,0.7227467894554138,,,
22,1195,,,,0.8844959735870361,0.916655421257019,0.7973887324333191
22,1195,0.833603024482727,0.8768184185028076,0.7234574556350708,,,
23,1247,,,,0.8835837841033936,0.9146468639373779,0.7953423857688904
23,1247,0.8396930694580078,0.8809821009635925,0.7320852875709534,,,
24,1299,,,,0.8694508075714111,0.900937557220459,0.7725299000740051
24,1299,0.8330744504928589,0.872356116771698,0.7221880555152893,,,
25,1351,,,,0.8882291913032532,0.9194315671920776,0.8031309843063354
25,1351,0.8419169783592224,0.8771549463272095,0.7345349788665771,,,
26,1403,,,,0.8827745318412781,0.9124006032943726,0.7941567897796631
26,1403,0.8473908305168152,0.8855871558189392,0.7427918910980225,,,
27,1455,,,,0.8801480531692505,0.9133390784263611,0.790403425693512
27,1455,0.8473088145256042,0.8838111758232117,0.7424852252006531,,,
28,1507,,,,0.8725093007087708,0.9079129099845886,0.7792611718177795
28,1507,0.8460752367973328,0.8823091983795166,0.7405839562416077,,,
29,1559,,,,0.8827685713768005,0.9138432741165161,0.7943187355995178
29,1559,0.8521170616149902,0.8884813189506531,0.7493389248847961,,,
30,1611,,,,0.8913108706474304,0.9202163815498352,0.8074367642402649
30,1611,0.8556192517280579,0.8894132971763611,0.7540905475616455,,,
31,1663,,,,0.889793872833252,0.9238239526748657,0.8063483238220215
31,1663,0.854179859161377,0.8912514448165894,0.7529114484786987,,,
32,1715,,,,0.8929204940795898,0.9230311512947083,0.8103744983673096
32,1715,0.8583356738090515,0.8936799764633179,0.7587489485740662,,,
33,1767,,,,0.895289957523346,0.9252519607543945,0.8143943548202515
33,1767,0.8550416827201843,0.8900209665298462,0.7534400224685669,,,
34,1819,,,,0.8925807476043701,0.9217059016227722,0.8096515536308289
34,1819,0.8590618968009949,0.8925153017044067,0.7595226168632507,,,
35,1871,,,,0.8940925598144531,0.9225190877914429,0.812042236328125
35,1871,0.8650335669517517,0.8988381624221802,0.7687223553657532,,,
36,1923,,,,0.8939776420593262,0.9209418892860413,0.8115456104278564
36,1923,0.8622561097145081,0.8945597410202026,0.7642210721969604,,,
37,1975,,,,0.8967897891998291,0.9248946309089661,0.8163719773292542
37,1975,0.8645553588867188,0.8957167863845825,0.7673774361610413,,,
38,2027,,,,0.8944180011749268,0.9231690168380737,0.8127771019935608
38,2027,0.8613662719726562,0.8951473832130432,0.762877345085144,,,
39,2079,,,,0.8933562636375427,0.9222143292427063,0.8107643723487854
39,2079,0.8625725507736206,0.8967399001121521,0.7647269368171692,,,
40,2131,,,,0.8968978524208069,0.9252874851226807,0.8166981935501099
40,2131,0.867107093334198,0.9011316299438477,0.7718507051467896,,,
41,2183,,,,0.8970734477043152,0.9248468279838562,0.8168080449104309
41,2183,0.8653411865234375,0.8998405933380127,0.7691712379455566,,,
42,2235,,,,0.8986095190048218,0.9260056018829346,0.8192999362945557
42,2235,0.8642902970314026,0.8972616791725159,0.7672067880630493,,,
43,2287,,,,0.8980180025100708,0.9259737730026245,0.8183966279029846
43,2287,0.8636199235916138,0.8945034146308899,0.7660160064697266,,,
44,2339,,,,0.8971864581108093,0.924822986125946,0.8169090747833252
44,2339,0.8637425303459167,0.8945191502571106,0.7662338018417358,,,
45,2391,,,,0.8900886178016663,0.9196023344993591,0.805734395980835
45,2391,0.8517523407936096,0.8868545889854431,0.7485904693603516,,,
46,2443,,,,0.8906822800636292,0.9243103861808777,0.8075719475746155
46,2443,0.8488659262657166,0.8862602710723877,0.7446979284286499,,,
47,2495,,,,0.8933937549591064,0.9283427000045776,0.8126650452613831
47,2495,0.857782244682312,0.8934850692749023,0.7579361796379089,,,
48,2547,,,,0.8992811441421509,0.9247876405715942,0.8200554847717285
48,2547,0.852851152420044,0.885995090007782,0.75030118227005,,,
49,2599,,,,0.8953286409378052,0.9269644021987915,0.8148606419563293
49,2599,0.8538705706596375,0.8890284299850464,0.7520864605903625,,,
50,2651,,,,0.8920465111732483,0.9276490807533264,0.8106458187103271
50,2651,0.8632991909980774,0.8961000442504883,0.7659096717834473,,,
51,2703,,,,0.9022181630134583,0.9265081882476807,0.8248997926712036
51,2703,0.8572322130203247,0.8906522989273071,0.7567238211631775,,,
52,2755,,,,0.8952449560165405,0.9240667819976807,0.8138153553009033
52,2755,0.8629157543182373,0.8946223258972168,0.7649821639060974,,,
53,2807,,,,0.8974741101264954,0.9215295910835266,0.8166795372962952
53,2807,0.8638057112693787,0.8970421552658081,0.76664799451828,,,
54,2859,,,,0.8985658288002014,0.929824709892273,0.8201403021812439
54,2859,0.8649688959121704,0.899507999420166,0.7687061429023743,,,
55,2911,,,,0.902188241481781,0.9302445650100708,0.8253235816955566
55,2911,0.8612846732139587,0.8918599486351013,0.7626129388809204,,,
56,2963,,,,0.9017789959907532,0.9300369620323181,0.8247134685516357
56,2963,0.8620046377182007,0.8950915336608887,0.764122486114502,,,
57,3015,,,,0.8948978781700134,0.9240700006484985,0.8133429884910583
