epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,51,,,,0.5845292806625366,0.7525535225868225,0.47026270627975464
0,51,0.4663480818271637,0.612306535243988,0.3386540710926056,,,
1,103,,,,0.6673462390899658,0.8497825264930725,0.5766695737838745
1,103,0.6017922163009644,0.7683240175247192,0.4921864867210388,,,
2,155,,,,0.6849362254142761,0.8687962293624878,0.6009737253189087
2,155,0.6355308294296265,0.8026465773582458,0.5336397290229797,,,
3,207,,,,0.6858633160591125,0.8732051253318787,0.6019167304039001
3,207,0.6429870128631592,0.8137343525886536,0.5431267023086548,,,
4,259,,,,0.7074064612388611,0.8715815544128418,0.6128200888633728
4,259,0.65390944480896,0.8171341419219971,0.5523808598518372,,,
5,311,,,,0.7983943819999695,0.8808689117431641,0.6870335936546326
5,311,0.7218443751335144,0.8387576937675476,0.6059478521347046,,,
6,363,,,,0.8319046497344971,0.889610230922699,0.7242774963378906
6,363,0.7755661606788635,0.8387438654899597,0.6493815779685974,,,
7,415,,,,0.8441453576087952,0.9007932543754578,0.7422353625297546
7,415,0.7881303429603577,0.8474354147911072,0.6647124290466309,,,
8,467,,,,0.8457983732223511,0.8991086483001709,0.743310809135437
8,467,0.8002257347106934,0.8507676124572754,0.6786946058273315,,,
9,519,,,,0.8435435891151428,0.8949168920516968,0.738688588142395
9,519,0.8059642910957336,0.8507435917854309,0.6851087212562561,,,
10,571,,,,0.8545275926589966,0.9060272574424744,0.7559337615966797
10,571,0.80946284532547,0.8595404028892517,0.6911992430686951,,,
11,623,,,,0.85504549741745,0.9040972590446472,0.7557355761528015
11,623,0.8148878216743469,0.8616334795951843,0.6977168917655945,,,
12,675,,,,0.853172242641449,0.9039182662963867,0.7536807060241699
12,675,0.8147033452987671,0.8596569895744324,0.6970256567001343,,,
13,727,,,,0.8581792116165161,0.9065098166465759,0.7604393362998962
13,727,0.8173734545707703,0.8622257113456726,0.7005516886711121,,,
14,779,,,,0.8592438101768494,0.907701849937439,0.7621751427650452
14,779,0.8190150856971741,0.8669657707214355,0.7039820551872253,,,
15,831,,,,0.8418434858322144,0.8907248377799988,0.7354754209518433
15,831,0.8052009344100952,0.8558177351951599,0.68507981300354,,,
16,883,,,,0.8602657914161682,0.9060818552970886,0.7628746628761292
16,883,0.8119705319404602,0.8605116605758667,0.6943151354789734,,,
17,935,,,,0.8643758296966553,0.9053791761398315,0.7679492831230164
17,935,0.8095664381980896,0.8579144477844238,0.6903083324432373,,,
18,987,,,,0.8656036257743835,0.9052140116691589,0.7695187330245972
18,987,0.8177763819694519,0.8621103763580322,0.7013834118843079,,,
19,1039,,,,0.8755860924720764,0.9127675294876099,0.7846536636352539
19,1039,0.8279693722724915,0.8691350817680359,0.7149848937988281,,,
20,1091,,,,0.8705241084098816,0.9071540832519531,0.7758857607841492
20,1091,0.830298900604248,0.8729586601257324,0.7185179591178894,,,
21,1143,,,,0.8808654546737671,0.9154666066169739,0.792046308517456
21,1143,0.8328656554222107,0.8754763007164001,0.7221677303314209,,,
22,1195,,,,0.8802217245101929,0.9141824841499329,0.7906275987625122
22,1195,0.8355409502983093,0.8792334198951721,0.7264722585678101,,,
23,1247,,,,0.8820509314537048,0.9179286956787109,0.794314980506897
23,1247,0.8414276838302612,0.8833163380622864,0.7347528338432312,,,
24,1299,,,,0.8791414499282837,0.9104572534561157,0.7880222201347351
24,1299,0.8416642546653748,0.8791611790657043,0.7339074015617371,,,
25,1351,,,,0.8867440819740295,0.9218533039093018,0.8016459345817566
25,1351,0.8474565148353577,0.8833137154579163,0.7424814105033875,,,
26,1403,,,,0.8922995924949646,0.9234880805015564,0.8098569512367249
26,1403,0.8495354652404785,0.8868405222892761,0.745720386505127,,,
27,1455,,,,0.8895719051361084,0.9200658798217773,0.8048783540725708
27,1455,0.850585401058197,0.8863242268562317,0.7470591068267822,,,
28,1507,,,,0.8772104978561401,0.9151002168655396,0.7871764302253723
28,1507,0.8495911955833435,0.884806752204895,0.7454302906990051,,,
29,1559,,,,0.891269862651825,0.9205284118652344,0.8076958060264587
29,1559,0.8542420864105225,0.8897764682769775,0.7523291110992432,,,
30,1611,,,,0.8949224948883057,0.9250904321670532,0.8138045072555542
30,1611,0.8573729395866394,0.8912708759307861,0.7568610906600952,,,
31,1663,,,,0.8926119208335876,0.9239194989204407,0.8101696968078613
31,1663,0.856795608997345,0.892971396446228,0.7565738558769226,,,
32,1715,,,,0.8987718224525452,0.9271952509880066,0.8196460008621216
32,1715,0.8604001402854919,0.89501953125,0.7617301940917969,,,
33,1767,,,,0.8999869227409363,0.9294732213020325,0.8219581246376038
33,1767,0.8585485219955444,0.8919807076454163,0.7583950161933899,,,
34,1819,,,,0.8973643183708191,0.9267448782920837,0.8175989389419556
34,1819,0.8615902066230774,0.8936980366706848,0.7630468010902405,,,
35,1871,,,,0.90055251121521,0.9279575943946838,0.8224747776985168
35,1871,0.8664963245391846,0.8995782732963562,0.7706946134567261,,,
36,1923,,,,0.8995266556739807,0.9261999130249023,0.8206434845924377
36,1923,0.8637736439704895,0.8951444625854492,0.7662674784660339,,,
37,1975,,,,0.9018093347549438,0.928629457950592,0.824424147605896
37,1975,0.8653144240379333,0.8966651558876038,0.7685181498527527,,,
38,2027,,,,0.9011554718017578,0.9283220767974854,0.8234863877296448
38,2027,0.8638625741004944,0.8962745666503906,0.7663252949714661,,,
39,2079,,,,0.9007000923156738,0.927632749080658,0.8225610256195068
39,2079,0.8644176125526428,0.8984690308570862,0.7675403356552124,,,
40,2131,,,,0.902703046798706,0.9291350245475769,0.8259085416793823
40,2131,0.8686212301254272,0.9019507765769958,0.7739257216453552,,,
41,2183,,,,0.9027456045150757,0.9284839630126953,0.8257973790168762
41,2183,0.8673998713493347,0.9010793566703796,0.7720860242843628,,,
42,2235,,,,0.9025418162345886,0.9286975860595703,0.825545072555542
42,2235,0.8666458129882812,0.8987353444099426,0.7706824541091919,,,
43,2287,,,,0.9015915393829346,0.9286226034164429,0.8241267800331116
43,2287,0.8671309351921082,0.8967320919036865,0.7710551619529724,,,
44,2339,,,,0.9030463099479675,0.9287000894546509,0.8262606859207153
44,2339,0.8646960258483887,0.8951380252838135,0.7675647735595703,,,
45,2391,,,,0.8950433731079102,0.9233186841011047,0.8135437965393066
45,2391,0.8541666269302368,0.8879989981651306,0.7521501779556274,,,
46,2443,,,,0.8961717486381531,0.9273650646209717,0.8159695863723755
46,2443,0.8495243191719055,0.8872163891792297,0.7456316947937012,,,
47,2495,,,,0.8972893357276917,0.9280952215194702,0.8179402351379395
47,2495,0.86064213514328,0.8944639563560486,0.7618499994277954,,,
48,2547,,,,0.8936525583267212,0.9246143698692322,0.8119477033615112
48,2547,0.8577630519866943,0.8901921510696411,0.7572070956230164,,,
49,2599,,,,0.8980722427368164,0.9273322820663452,0.8187777400016785
49,2599,0.8573766350746155,0.8907375335693359,0.7568631172180176,,,
50,2651,,,,0.8929576277732849,0.9285061359405518,0.8118957281112671
50,2651,0.8641774654388428,0.8963018655776978,0.766981840133667,,,
51,2703,,,,0.8932280540466309,0.9182404279708862,0.8101131916046143
51,2703,0.8602613806724548,0.892764151096344,0.76109778881073,,,
52,2755,,,,0.8965751528739929,0.9223226308822632,0.8153329491615295
52,2755,0.8495140671730042,0.8840067982673645,0.7454689145088196,,,
53,2807,,,,0.8988498449325562,0.9228021502494812,0.8189261555671692
53,2807,0.859676718711853,0.8932353258132935,0.7603532671928406,,,
54,2859,,,,0.894433319568634,0.9032291769981384,0.811565637588501
54,2859,0.8639380931854248,0.897497832775116,0.7668685913085938,,,
55,2911,,,,0.8995773792266846,0.9306080341339111,0.821634829044342
55,2911,0.8630211353302002,0.8931918144226074,0.7650614380836487,,,
56,2963,,,,0.8998653888702393,0.9293902516365051,0.8217382431030273
56,2963,0.8626893758773804,0.8956480622291565,0.7651035189628601,,,
57,3015,,,,0.8969578146934509,0.9283066987991333,0.8173096179962158
57,3015,0.8656322360038757,0.8969844579696655,0.7691399455070496,,,
58,3067,,,,0.9059295654296875,0.9328222274780273,0.8314013481140137
58,3067,0.8649274110794067,0.897882342338562,0.7682487368583679,,,
59,3119,,,,0.9039430022239685,0.930859386920929,0.8280842900276184
59,3119,0.870643675327301,0.9010762572288513,0.7766902446746826,,,
60,3171,,,,0.9046769142150879,0.9315149188041687,0.8291856646537781
60,3171,0.871856689453125,0.9012426137924194,0.778218150138855,,,
61,3223,,,,0.9001047015190125,0.927676796913147,0.8222907781600952
61,3223,0.8710778951644897,0.9011989831924438,0.7771969437599182,,,
62,3275,,,,0.9101551175117493,0.9314574599266052,0.837286651134491
62,3275,0.873992919921875,0.903690755367279,0.7817090153694153,,,
63,3327,,,,0.9094250202178955,0.934553861618042,0.836753785610199
63,3327,0.8760483860969543,0.9046949744224548,0.7844732999801636,,,
64,3379,,,,0.9057817459106445,0.9315650463104248,0.830696165561676
64,3379,0.8760160803794861,0.9054296612739563,0.784944474697113,,,
65,3431,,,,0.906054675579071,0.9296674132347107,0.8309687972068787
65,3431,0.8742950558662415,0.9068564176559448,0.7823114395141602,,,
66,3483,,,,0.9076030850410461,0.9323538541793823,0.8334793448448181
66,3483,0.8725748062133789,0.902443528175354,0.7793926000595093,,,
67,3535,,,,0.9038313031196594,0.9295159578323364,0.8276742696762085
67,3535,0.8814234733581543,0.9076578617095947,0.7927790880203247,,,
68,3587,,,,0.9065539836883545,0.9300003051757812,0.8315538763999939
68,3587,0.8761696815490723,0.9060266017913818,0.7851631045341492,,,
69,3639,,,,0.9002794027328491,0.9290539026260376,0.8221232295036316
69,3639,0.8762662410736084,0.9047200083732605,0.785018265247345,,,
70,3691,,,,0.9104363918304443,0.9297428727149963,0.8374446034431458
70,3691,0.8781657814979553,0.906909704208374,0.7880479693412781,,,
71,3743,,,,0.9056200385093689,0.9272366762161255,0.8299229741096497
71,3743,0.8783664703369141,0.9069505333900452,0.7884230017662048,,,
72,3795,,,,0.9077421426773071,0.9293274879455566,0.8333160281181335
72,3795,0.8808693289756775,0.9077092409133911,0.791680634021759,,,
73,3847,,,,0.907806932926178,0.9321674108505249,0.8338872194290161
73,3847,0.8814190030097961,0.9109737873077393,0.7930938005447388,,,
74,3899,,,,0.9098615646362305,0.9333364367485046,0.8372200131416321
74,3899,0.8816888332366943,0.9087731838226318,0.7934533357620239,,,
75,3951,,,,0.9075210094451904,0.931880533695221,0.833471953868866
75,3951,0.8811113238334656,0.9093084931373596,0.7925053834915161,,,
76,4003,,,,0.9080638885498047,0.9323171377182007,0.8343788385391235
76,4003,0.8859409093856812,0.9114223122596741,0.7996880412101746,,,
77,4055,,,,0.9082881212234497,0.9323883056640625,0.8346173167228699
77,4055,0.8814488649368286,0.9099641442298889,0.7932106852531433,,,
78,4107,,,,0.9092289209365845,0.9326542615890503,0.836237370967865
78,4107,0.8872774243354797,0.9139455556869507,0.8020052909851074,,,
79,4159,,,,0.9064332246780396,0.931866466999054,0.8318021893501282
79,4159,0.8868640661239624,0.9115849137306213,0.8011825680732727,,,
80,4211,,,,0.9063283801078796,0.9295086860656738,0.8311789035797119
80,4211,0.8840513229370117,0.910037636756897,0.7969501614570618,,,
81,4263,,,,0.9058229923248291,0.929582953453064,0.8304280638694763
81,4263,0.8861338496208191,0.9125149846076965,0.8001661896705627,,,
82,4315,,,,0.9089212417602539,0.9325028657913208,0.835576057434082
82,4315,0.8851397633552551,0.9119104743003845,0.7988390326499939,,,
83,4367,,,,0.9089648723602295,0.9340370297431946,0.8359606266021729
83,4367,0.8889349102973938,0.9152051210403442,0.8044952154159546,,,
84,4419,,,,0.906912088394165,0.929938018321991,0.8321267366409302
84,4419,0.8861619234085083,0.9147272706031799,0.8006525635719299,,,
85,4471,,,,0.910701334476471,0.9334827661514282,0.8384748101234436
85,4471,0.8864548206329346,0.9131003618240356,0.8008295893669128,,,
86,4523,,,,0.9100950360298157,0.931858241558075,0.8373781442642212
86,4523,0.8904093503952026,0.9146729707717896,0.8066226840019226,,,
87,4575,,,,0.9098294377326965,0.9317135214805603,0.8368791341781616
87,4575,0.8909385204315186,0.9182833433151245,0.808001697063446,,,
