epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,51,,,,0.7801715135574341,0.7985750436782837,0.5207706093788147
0,51,0.4951719045639038,0.6506984233856201,0.369128942489624,,,
1,103,,,,0.6839570999145508,0.8710479736328125,0.6001502275466919
1,103,0.6351217031478882,0.8035321235656738,0.5329189896583557,,,
2,155,,,,0.7766227126121521,0.889858067035675,0.6742197871208191
2,155,0.671856164932251,0.8302712440490723,0.5712783932685852,,,
3,207,,,,0.7928129434585571,0.8921766877174377,0.690500795841217
3,207,0.768671989440918,0.8372012972831726,0.6419575810432434,,,
4,259,,,,0.8280112147331238,0.8810384273529053,0.7160385251045227
4,259,0.7828652262687683,0.8428114652633667,0.6582777500152588,,,
5,311,,,,0.849157989025116,0.8976365923881531,0.7469648718833923
5,311,0.8069369792938232,0.857466459274292,0.6873724460601807,,,
6,363,,,,0.8647286295890808,0.9064883589744568,0.7686507105827332
6,363,0.8082144856452942,0.8585498929023743,0.6887027025222778,,,
7,415,,,,0.8658785820007324,0.9087943434715271,0.7707798480987549
7,415,0.8173002600669861,0.8663908839225769,0.701348066329956,,,
8,467,,,,0.8691202402114868,0.906588077545166,0.7738651633262634
8,467,0.8226128816604614,0.8670162558555603,0.7080233097076416,,,
9,519,,,,0.857866108417511,0.9014732241630554,0.7579246163368225
9,519,0.8284734487533569,0.8703670501708984,0.7156644463539124,,,
10,571,,,,0.8739216327667236,0.913655698299408,0.7824300527572632
10,571,0.8278272747993469,0.8737189769744873,0.715831458568573,,,
11,623,,,,0.8726191520690918,0.90961092710495,0.7794314026832581
11,623,0.8337228298187256,0.8763196468353271,0.7233967781066895,,,
12,675,,,,0.874596357345581,0.9110355377197266,0.782500147819519
12,675,0.8311808109283447,0.8723446130752563,0.7195616960525513,,,
13,727,,,,0.8760302066802979,0.9120170474052429,0.784673273563385
13,727,0.8335506916046143,0.873853325843811,0.7226119041442871,,,
14,779,,,,0.8754472136497498,0.9111257195472717,0.7837197184562683
14,779,0.8348963260650635,0.8797644972801208,0.725863516330719,,,
15,831,,,,0.8727514147758484,0.9104296565055847,0.7799607515335083
15,831,0.828819751739502,0.8740162253379822,0.7170225381851196,,,
16,883,,,,0.8747657537460327,0.9146472215652466,0.7838684916496277
16,883,0.8287149667739868,0.8737766146659851,0.7169961333274841,,,
17,935,,,,0.8763759732246399,0.9087178111076355,0.7844293117523193
17,935,0.8231611251831055,0.8680830597877502,0.7089434266090393,,,
18,987,,,,0.8772903680801392,0.9077316522598267,0.7862759232521057
18,987,0.8313254714012146,0.8723546266555786,0.7199058532714844,,,
19,1039,,,,0.8842639923095703,0.912175178527832,0.7964432239532471
19,1039,0.8409600257873535,0.8783432245254517,0.7332642674446106,,,
20,1091,,,,0.889862596988678,0.9191822409629822,0.805458128452301
20,1091,0.8434759378433228,0.8837336301803589,0.7373234033584595,,,
21,1143,,,,0.8847949504852295,0.915452241897583,0.7976744174957275
21,1143,0.8444734215736389,0.884096622467041,0.7386704087257385,,,
22,1195,,,,0.8894307017326355,0.9203820824623108,0.8048928380012512
22,1195,0.8466216325759888,0.8849295973777771,0.7415939569473267,,,
23,1247,,,,0.890182614326477,0.9191367030143738,0.805716335773468
23,1247,0.8494788408279419,0.8893932104110718,0.7462949156761169,,,
