epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,51,,,,0.6090518832206726,0.7834653854370117,0.5013397932052612
0,51,0.5086559653282166,0.6685009002685547,0.3855511248111725,,,
1,103,,,,0.6841634511947632,0.8660264611244202,0.5980860590934753
1,103,0.6363121271133423,0.805673360824585,0.5346230864524841,,,
2,155,,,,0.8245891332626343,0.8906486630439758,0.716417670249939
2,155,0.7287457585334778,0.8346317410469055,0.6090295314788818,,,
3,207,,,,0.820212185382843,0.8946747779846191,0.7144395709037781
3,207,0.7891039848327637,0.8437290787696838,0.6648232340812683,,,
4,259,,,,0.8336277008056641,0.8784825205802917,0.7223461866378784
4,259,0.7973507046699524,0.8472894430160522,0.674879252910614,,,
5,311,,,,0.8530601263046265,0.9013329744338989,0.7523594498634338
5,311,0.8140336275100708,0.8627563714981079,0.6968275308609009,,,
6,363,,,,0.8536904454231262,0.8984512090682983,0.752541184425354
6,363,0.8145231604576111,0.8611924052238464,0.6969606876373291,,,
7,415,,,,0.8615754842758179,0.9069802165031433,0.7645872831344604
7,415,0.8246007561683655,0.870563805103302,0.7110428214073181,,,
8,467,,,,0.8687059283256531,0.9081178307533264,0.773693323135376
8,467,0.828331470489502,0.8722988367080688,0.7162546515464783,,,
9,519,,,,0.8553415536880493,0.897901713848114,0.7532088756561279
9,519,0.8356946706771851,0.8753893375396729,0.7257059216499329,,,
10,571,,,,0.8733768463134766,0.9133248925209045,0.7813693284988403
10,571,0.8351640105247498,0.8785807490348816,0.7259548902511597,,,
11,623,,,,0.8681846261024475,0.906150758266449,0.7725372910499573
11,623,0.8388420343399048,0.8805431723594666,0.7308394908905029,,,
12,675,,,,0.8727195262908936,0.910687267780304,0.779767632484436
12,675,0.8388423323631287,0.878012478351593,0.7303476929664612,,,
13,727,,,,0.874263346195221,0.9119701981544495,0.7821411490440369
13,727,0.8410468101501465,0.8794279098510742,0.7334033846855164,,,
14,779,,,,0.8736907839775085,0.9113066792488098,0.7812727093696594
14,779,0.8413987755775452,0.8848980069160461,0.7351574301719666,,,
15,831,,,,0.8715081810951233,0.9082439541816711,0.7772954702377319
15,831,0.834906280040741,0.8781489133834839,0.72564297914505,,,
16,883,,,,0.878516435623169,0.9136369824409485,0.7884374856948853
16,883,0.8339462280273438,0.8760865926742554,0.7241086363792419,,,
17,935,,,,0.8772585391998291,0.9118457436561584,0.7861652970314026
17,935,0.8304206728935242,0.8751803636550903,0.7194156646728516,,,
18,987,,,,0.8783658742904663,0.9133303761482239,0.7886123657226562
18,987,0.8382477164268494,0.8785557746887207,0.7300764322280884,,,
19,1039,,,,0.8812685608863831,0.9149174094200134,0.7926977276802063
19,1039,0.8465118408203125,0.8824342489242554,0.7412049174308777,,,
20,1091,,,,0.8848204612731934,0.916573166847229,0.7975675463676453
20,1091,0.8495150804519653,0.8882732391357422,0.7460966110229492,,,
21,1143,,,,0.8847528100013733,0.9185699820518494,0.7984908223152161
21,1143,0.8501302003860474,0.8883628249168396,0.7468099594116211,,,
22,1195,,,,0.8835299611091614,0.9182299375534058,0.7962617874145508
22,1195,0.8528889417648315,0.8909305334091187,0.75083988904953,,,
23,1247,,,,0.8836199045181274,0.9181921482086182,0.7963086366653442
23,1247,0.8553805351257324,0.8940008282661438,0.7550283074378967,,,
24,1299,,,,0.8824219107627869,0.9113343358039856,0.792786180973053
24,1299,0.8563020825386047,0.8916569948196411,0.7556098103523254,,,
25,1351,,,,0.8965041041374207,0.9243587255477905,0.8160022497177124
25,1351,0.8622425198554993,0.8948467969894409,0.7642151713371277,,,
26,1403,,,,0.8885576128959656,0.9164018630981445,0.8026999831199646
26,1403,0.8637700080871582,0.8972243070602417,0.766471803188324,,,
27,1455,,,,0.8946921229362488,0.9234172105789185,0.8128841519355774
27,1455,0.863498330116272,0.8965967893600464,0.7662444710731506,,,
28,1507,,,,0.8872051239013672,0.9188242554664612,0.8019619584083557
28,1507,0.86396723985672,0.8961137533187866,0.7666701674461365,,,
29,1559,,,,0.8921892642974854,0.9217755794525146,0.8092945218086243
29,1559,0.8644136786460876,0.8979141712188721,0.7675203680992126,,,
30,1611,,,,0.8975953459739685,0.9263207912445068,0.8178538084030151
30,1611,0.8697226047515869,0.9000867009162903,0.7751022577285767,,,
31,1663,,,,0.8971164226531982,0.9255428314208984,0.8170181512832642
31,1663,0.8674992322921753,0.9007691144943237,0.7723170518875122,,,
32,1715,,,,0.8970352411270142,0.9243953824043274,0.8164669275283813
32,1715,0.8737319707870483,0.9046096801757812,0.781437873840332,,,
33,1767,,,,0.8981048464775085,0.9254508018493652,0.8182510137557983
33,1767,0.8707011342048645,0.9022418856620789,0.7768887877464294,,,
34,1819,,,,0.899756669998169,0.9283177256584167,0.8212960958480835
34,1819,0.8720135688781738,0.9019629955291748,0.778693437576294,,,
35,1871,,,,0.8988903760910034,0.9250506162643433,0.8193471431732178
35,1871,0.8766497373580933,0.9081844091415405,0.7862555384635925,,,
36,1923,,,,0.8988419771194458,0.9261282682418823,0.8195562362670898
36,1923,0.875198245048523,0.9042132496833801,0.783570408821106,,,
37,1975,,,,0.9002986550331116,0.927139163017273,0.8218799233436584
37,1975,0.8759952783584595,0.9051814675331116,0.7846635580062866,,,
38,2027,,,,0.8988714814186096,0.9258188009262085,0.8195830583572388
38,2027,0.8733970522880554,0.9039280414581299,0.7807793617248535,,,
39,2079,,,,0.8988456726074219,0.9256064295768738,0.8193100690841675
39,2079,0.8734683990478516,0.9053183197975159,0.781205952167511,,,
40,2131,,,,0.9010397791862488,0.9273020029067993,0.8229435682296753
40,2131,0.8780934810638428,0.9093500971794128,0.7883405685424805,,,
41,2183,,,,0.9010180234909058,0.9271014928817749,0.8228750824928284
