epoch,step,train_F1,train_OA,train_loss_epoch,train_loss_step,train_mIoU,val_F1,val_OA,val_loss,val_mIoU
0,49,,,,1.8389825820922852,,,,,
0,51,,,,,,0.4862293601036072,0.6768974661827087,1.3677473068237305,0.37191906571388245
0,51,0.41929855942726135,0.5401671528816223,4.471067428588867,,0.29179930686950684,,,,
1,99,,,,1.6652438640594482,,,,,
1,103,,,,,,0.6843472719192505,0.8675068616867065,0.8288501501083374,0.5998092889785767
1,103,0.6050388216972351,0.7738199830055237,1.9640063047409058,,0.49647805094718933,,,,
2,149,,,,1.4715797901153564,,,,,
2,155,,,,,,0.6953641176223755,0.8781424760818481,0.7840869426727295,0.6162996888160706
2,155,0.6482042074203491,0.8178413510322571,1.595953106880188,,0.549839973449707,,,,
3,199,,,,1.6062829494476318,,,,,
3,207,,,,,,0.6969614028930664,0.882699191570282,0.7664055824279785,0.6193302273750305
3,207,0.6528148055076599,0.8274316787719727,1.5097987651824951,,0.5574729442596436,,,,
4,249,,,,1.240859866142273,,,,,
4,259,,,,,,0.733285129070282,0.8977698683738708,0.7076550126075745,0.6515483856201172
4,259,0.666187047958374,0.8357704877853394,1.4284234046936035,,0.5720128417015076,,,,
5,299,,,,1.5923724174499512,,,,,
5,311,,,,,,0.8394570350646973,0.890910804271698,0.6784791946411133,0.734182596206665
5,311,0.7716767191886902,0.8464296460151672,1.3409310579299927,,0.6487164497375488,,,,
6,349,,,,1.3361128568649292,,,,,
6,363,,,,,,0.8604704737663269,0.9062950611114502,0.6210248470306396,0.7633483409881592
6,363,0.8031857013702393,0.8515077233314514,1.2506967782974243,,0.6822815537452698,,,,
7,399,,,,1.2997318506240845,,,,,
7,415,,,,,,0.8320394158363342,0.9041951894760132,0.6386008262634277,0.7316076755523682
7,415,0.8111638426780701,0.8593197464942932,1.210030436515808,,0.692897379398346,,,,
8,449,,,,1.4729928970336914,,,,,
8,467,,,,,,0.87047278881073,0.9126461744308472,0.5966274738311768,0.7774727940559387
8,467,0.8201263546943665,0.8646615743637085,1.153140902519226,,0.7052168846130371,,,,
9,499,,,,0.9096055030822754,,,,,
9,519,,,,,,0.8623123168945312,0.9090043902397156,0.6176040768623352,0.7657746076583862
9,519,0.8262611031532288,0.8666290640830994,1.1350938081741333,,0.7128419876098633,,,,
10,549,,,,1.0328658819198608,,,,,
10,571,,,,,,0.8707098960876465,0.9141178727149963,0.5929529070854187,0.7780718803405762
10,571,0.828264594078064,0.8720864057540894,1.1031235456466675,,0.7164493203163147,,,,
11,599,,,,1.2372167110443115,,,,,
11,623,,,,,,0.8734778761863708,0.9150503873825073,0.5875637531280518,0.7821471691131592
11,623,0.8343531489372253,0.8755868673324585,1.0969027280807495,,0.7244617938995361,,,,
12,649,,,,1.0986549854278564,,,,,
12,675,,,,,,0.8711843490600586,0.9151711463928223,0.5859699249267578,0.7794286012649536
12,675,0.8355250358581543,0.8754406571388245,1.0858700275421143,,0.7258079051971436,,,,
13,699,,,,1.148075819015503,,,,,
13,727,,,,,,0.8768383264541626,0.9177806973457336,0.5781058669090271,0.7873508334159851
13,727,0.8380926251411438,0.8787515759468079,1.0484154224395752,,0.7297462224960327,,,,
14,749,,,,1.176693081855774,,,,,
14,779,,,,,,0.8769725561141968,0.9171680212020874,0.580141544342041,0.7873678207397461
14,779,0.8391595482826233,0.8828029036521912,1.0503901243209839,,0.7321247458457947,,,,
15,799,,,,1.1973501443862915,,,,,
15,831,,,,,,0.8660745620727539,0.9080443978309631,0.6274380683898926,0.7702615261077881
15,831,0.8215495347976685,0.8675969243049622,1.1948455572128296,,0.7071602940559387,,,,
16,849,,,,1.1823348999023438,,,,,
16,883,,,,,,0.8726904988288879,0.9135141968727112,0.5872994661331177,0.7808942198753357
16,883,0.8144663572311401,0.8627144694328308,1.1529536247253418,,0.6977217793464661,,,,
17,899,,,,0.9421286582946777,,,,,
17,935,,,,,,0.8430193662643433,0.8864424824714661,0.724068820476532,0.7354839444160461
17,935,0.8252634406089783,0.8688353896141052,1.1540502309799194,,0.7118967175483704,,,,
18,949,,,,0.9612950086593628,,,,,
18,987,,,,,,0.8724219799041748,0.9087463617324829,0.6104816198348999,0.7786877155303955
18,987,0.8249079585075378,0.8671969175338745,1.117517352104187,,0.7114308476448059,,,,
19,999,,,,0.9914350509643555,,,,,
19,1039,,,,,,0.8781412839889526,0.9116692543029785,0.597892701625824,0.7874537110328674
19,1039,0.8420887589454651,0.8788063526153564,1.045009970664978,,0.7346031069755554,,,,
20,1049,,,,0.9425293803215027,,,,,
20,1091,,,,,,0.8849067091941833,0.9221583604812622,0.563140332698822,0.7994763255119324
20,1091,0.8390449285507202,0.8794137239456177,1.0247002840042114,,0.7310999035835266,,,,
21,1099,,,,0.88519287109375,,,,,
21,1143,,,,,,0.8890880346298218,0.9250598549842834,0.5455014705657959,0.8057615756988525
21,1143,0.8471695780754089,0.8870790004730225,1.0086590051651,,0.7426528930664062,,,,
22,1149,,,,0.8695598840713501,,,,,
22,1195,,,,,,0.8740156292915344,0.9090872406959534,0.5989764332771301,0.782047688961029
22,1195,0.8485167622566223,0.8853821158409119,1.0003069639205933,,0.743940532207489,,,,
23,1199,,,,1.1595265865325928,,,,,
23,1247,,,,,,0.867398738861084,0.9086349606513977,0.6122721433639526,0.7720118165016174
23,1247,0.8458003401756287,0.8819409608840942,1.0134283304214478,,0.7404481172561646,,,,
24,1249,,,,1.0186424255371094,,,,,
24,1299,,,,0.874773383140564,,,,,
24,1299,,,,,,0.8877447247505188,0.9196001291275024,0.5618959665298462,0.8023615479469299
24,1299,0.8506984114646912,0.8873258829116821,0.9561209082603455,,0.7475872039794922,,,,
25,1349,,,,0.996497392654419,,,,,
25,1351,,,,,,0.8921824097633362,0.9220844507217407,0.5522869229316711,0.8095423579216003
25,1351,0.8524045944213867,0.8850173354148865,0.987998366355896,,0.7496008276939392,,,,
26,1399,,,,0.981728196144104,,,,,
26,1403,,,,,,0.8896700143814087,0.9202768802642822,0.5611600875854492,0.8051927089691162
26,1403,0.8617352843284607,0.8949507474899292,0.9350302219390869,,0.763306200504303,,,,
27,1449,,,,0.8041539192199707,,,,,
27,1455,,,,,,0.885917067527771,0.9217328429222107,0.5616364479064941,0.8004779815673828
27,1455,0.8574786186218262,0.8894057273864746,0.9664950966835022,,0.7572150230407715,,,,
28,1499,,,,0.9433146119117737,,,,,
28,1507,,,,,,0.8801357746124268,0.9084386825561523,0.6008312702178955,0.790022611618042
28,1507,0.8604080080986023,0.892955482006073,0.9400963187217712,,0.7613987326622009,,,,
29,1549,,,,0.876712441444397,,,,,
29,1559,,,,,,0.8819364905357361,0.9135041236877441,0.58235764503479,0.7930334806442261
29,1559,0.8620873093605042,0.8970792293548584,0.934677004814148,,0.764236569404602,,,,
30,1599,,,,0.9498780965805054,,,,,
30,1611,,,,,,0.893677294254303,0.921905517578125,0.5478776097297668,0.8112757205963135
30,1611,0.868634819984436,0.8987103700637817,0.8945140838623047,,0.773433268070221,,,,
31,1649,,,,0.8655229210853577,,,,,
31,1663,,,,,,0.8960312604904175,0.9247995018959045,0.5538307428359985,0.8153731822967529
31,1663,0.8682294487953186,0.9010562300682068,0.9025123119354248,,0.77345871925354,,,,
32,1699,,,,0.7844518423080444,,,,,
32,1715,,,,,,0.8978227972984314,0.927341103553772,0.5327246785163879,0.8182976841926575
32,1715,0.8726467490196228,0.9031379818916321,0.886836588382721,,0.7797471880912781,,,,
33,1749,,,,0.8891115188598633,,,,,
33,1767,,,,,,0.8997162580490112,0.9285452365875244,0.531700611114502,0.821456253528595
33,1767,0.8707305192947388,0.9025234580039978,0.8728075623512268,,0.7770349383354187,,,,
34,1799,,,,0.8552951216697693,,,,,
