epoch,step,train_F1,train_OA,train_loss_epoch,train_loss_step,train_mIoU,val_F1,val_OA,val_loss,val_mIoU
0,49,,,,11.49589729309082,,,,,
0,99,,,,6.403990745544434,,,,,
0,103,,,,,,0.2821856141090393,0.40312743186950684,3.156433582305908,0.1790376901626587
0,103,0.2055296152830124,0.24975109100341797,11.141937255859375,,0.11943840980529785,,,,
1,149,,,,5.428284645080566,,,,,
1,199,,,,7.814557075500488,,,,,
1,207,,,,,,0.4567393362522125,0.6116083264350891,1.4935303926467896,0.3288896977901459
1,207,0.35912108421325684,0.47997817397117615,5.0716633796691895,,0.23871588706970215,,,,
2,249,,,,3.502234697341919,,,,,
2,299,,,,2.972107172012329,,,,,
2,311,,,,,,0.5492125749588013,0.7192237377166748,1.1990810632705688,0.4272550344467163
2,311,0.48220494389533997,0.6416115164756775,3.3003604412078857,,0.35945120453834534,,,,
3,349,,,,2.534775733947754,,,,,
3,399,,,,2.0961532592773438,,,,,
3,415,,,,,,0.5008285045623779,0.6716296672821045,1.253909707069397,0.3857933580875397
3,415,0.5465319156646729,0.7094297409057617,2.596590518951416,,0.42994627356529236,,,,
4,449,,,,2.0471296310424805,,,,,
4,499,,,,1.8334283828735352,,,,,
4,519,,,,,,0.40069112181663513,0.5993990302085876,1.9062505960464478,0.30663037300109863
4,519,0.571305513381958,0.7318971157073975,2.299940586090088,,0.4553537964820862,,,,
5,549,,,,1.8748836517333984,,,,,
5,599,,,,1.685486078262329,,,,,
5,623,,,,,,0.6335256099700928,0.810192883014679,1.0085365772247314,0.5284505486488342
5,623,0.5975929498672485,0.7662264704704285,1.9725327491760254,,0.48574015498161316,,,,
6,649,,,,1.73947274684906,,,,,
6,699,,,,1.3856391906738281,,,,,
6,727,,,,,,0.6529295444488525,0.8392522931098938,0.9555681943893433,0.5565130114555359
6,727,0.6411987543106079,0.7888057231903076,1.740479826927185,,0.5247387886047363,,,,
7,749,,,,1.2969255447387695,,,,,
7,799,,,,1.7713308334350586,,,,,
7,831,,,,,,0.7959750294685364,0.8904818892478943,0.7110757231712341,0.6895009279251099
7,831,0.6695193648338318,0.8084000945091248,1.5852781534194946,,0.5535202622413635,,,,
8,849,,,,1.3875796794891357,,,,,
8,899,,,,1.448995590209961,,,,,
8,935,,,,,,0.8207370638847351,0.8806743621826172,0.7441993951797485,0.7069467902183533
8,935,0.7518405914306641,0.8122751116752625,1.4733818769454956,,0.6181175112724304,,,,
9,949,,,,1.6686161756515503,,,,,
9,999,,,,0.9969261884689331,,,,,
9,1039,,,,,,0.8144939541816711,0.8505997061729431,0.8063123226165771,0.6934611201286316
9,1039,0.7591692805290222,0.8200767040252686,1.402732253074646,,0.6272508502006531,,,,
10,1049,,,,1.1094906330108643,,,,,
10,1099,,,,1.549546718597412,,,,,
10,1143,,,,,,0.7991043329238892,0.8126336336135864,1.0086681842803955,0.6695641279220581
10,1143,0.7931299805641174,0.8444488644599915,1.258585810661316,,0.6688703894615173,,,,
11,1149,,,,1.3215007781982422,,,,,
11,1199,,,,1.217739462852478,,,,,
11,1247,,,,,,0.8486754894256592,0.8946055769920349,0.659360945224762,0.7449584603309631
11,1247,0.8054167032241821,0.8428060412406921,1.288008213043213,,0.6825236678123474,,,,
12,1249,,,,1.4133212566375732,,,,,
12,1299,,,,1.0372838973999023,,,,,
