================ Training Loss (Mon Mar 10 16:41:22 2025) ================
(epoch: 1, iters: 100, time: 0.079, data: 0.170) D_A: 0.331 G_A: 0.331 cycle_A: 1.714 idt_A: 1.621 D_B: 0.434 G_B: 0.389 cycle_B: 2.924 idt_B: 0.966 
(epoch: 2, iters: 50, time: 0.080, data: 0.001) D_A: 0.348 G_A: 0.633 cycle_A: 1.441 idt_A: 1.397 D_B: 0.352 G_B: 0.326 cycle_B: 2.569 idt_B: 0.674 
(epoch: 2, iters: 150, time: 0.081, data: 0.001) D_A: 0.309 G_A: 0.253 cycle_A: 1.629 idt_A: 0.913 D_B: 0.203 G_B: 0.411 cycle_B: 1.955 idt_B: 0.784 
(epoch: 3, iters: 100, time: 0.443, data: 0.234) D_A: 0.344 G_A: 0.171 cycle_A: 1.952 idt_A: 0.628 D_B: 0.249 G_B: 0.450 cycle_B: 1.253 idt_B: 0.833 
(epoch: 4, iters: 50, time: 0.080, data: 0.001) D_A: 0.232 G_A: 0.364 cycle_A: 1.071 idt_A: 0.797 D_B: 0.748 G_B: 0.499 cycle_B: 1.642 idt_B: 0.538 
(epoch: 4, iters: 150, time: 0.080, data: 0.001) D_A: 0.231 G_A: 0.293 cycle_A: 1.815 idt_A: 0.584 D_B: 0.179 G_B: 0.419 cycle_B: 1.293 idt_B: 0.840 
(epoch: 5, iters: 100, time: 0.080, data: 0.223) D_A: 0.282 G_A: 0.553 cycle_A: 0.879 idt_A: 1.235 D_B: 0.162 G_B: 0.279 cycle_B: 2.830 idt_B: 0.427 
(epoch: 6, iters: 50, time: 0.416, data: 0.001) D_A: 0.256 G_A: 0.437 cycle_A: 2.086 idt_A: 1.246 D_B: 0.150 G_B: 0.638 cycle_B: 2.681 idt_B: 0.818 
(epoch: 6, iters: 150, time: 0.081, data: 0.002) D_A: 0.277 G_A: 0.553 cycle_A: 1.972 idt_A: 0.924 D_B: 0.226 G_B: 0.272 cycle_B: 2.077 idt_B: 0.871 
(epoch: 7, iters: 100, time: 0.080, data: 0.238) D_A: 0.141 G_A: 0.623 cycle_A: 0.907 idt_A: 0.955 D_B: 0.191 G_B: 0.579 cycle_B: 1.602 idt_B: 0.441 
(epoch: 8, iters: 50, time: 0.080, data: 0.001) D_A: 0.170 G_A: 0.576 cycle_A: 1.045 idt_A: 0.803 D_B: 0.540 G_B: 0.088 cycle_B: 1.653 idt_B: 0.465 
(epoch: 8, iters: 150, time: 0.431, data: 0.001) D_A: 0.398 G_A: 0.683 cycle_A: 1.510 idt_A: 0.654 D_B: 0.170 G_B: 0.416 cycle_B: 1.390 idt_B: 0.735 
(epoch: 9, iters: 100, time: 0.080, data: 0.242) D_A: 0.115 G_A: 0.501 cycle_A: 1.038 idt_A: 0.762 D_B: 0.225 G_B: 0.335 cycle_B: 1.401 idt_B: 0.526 
(epoch: 10, iters: 50, time: 0.080, data: 0.001) D_A: 0.154 G_A: 0.544 cycle_A: 0.910 idt_A: 2.274 D_B: 0.295 G_B: 0.398 cycle_B: 4.263 idt_B: 0.382 
(epoch: 10, iters: 150, time: 0.080, data: 0.002) D_A: 0.392 G_A: 0.077 cycle_A: 1.435 idt_A: 0.724 D_B: 0.199 G_B: 0.154 cycle_B: 1.524 idt_B: 0.481 
(epoch: 11, iters: 100, time: 0.402, data: 0.240) D_A: 0.170 G_A: 0.315 cycle_A: 1.674 idt_A: 1.080 D_B: 0.208 G_B: 0.177 cycle_B: 2.035 idt_B: 0.821 
(epoch: 12, iters: 50, time: 0.080, data: 0.001) D_A: 0.340 G_A: 0.083 cycle_A: 1.305 idt_A: 0.458 D_B: 0.226 G_B: 0.109 cycle_B: 1.534 idt_B: 0.596 
(epoch: 12, iters: 150, time: 0.080, data: 0.002) D_A: 0.267 G_A: 0.290 cycle_A: 3.719 idt_A: 0.519 D_B: 0.159 G_B: 0.345 cycle_B: 1.004 idt_B: 1.790 
(epoch: 13, iters: 100, time: 0.080, data: 0.233) D_A: 0.113 G_A: 0.164 cycle_A: 1.334 idt_A: 0.838 D_B: 0.220 G_B: 0.218 cycle_B: 1.603 idt_B: 0.684 
